Lap,Time_s,AccelX_g,MotorRPM,Speed_mps,LongitudinalForce_N,AeroDragMagnitude_N,RequiredBrakingMagnitude_N,AvailableRegenMagnitude_N,AppliedRegenForce_N,FrictionBrakeForce_N
1,0,0.231,245.75,1.142,588.961989,0.217105076,0,3839.660513,0,0
1,0.01,0.325,291.5,1.28,828.626175,0.272745573,0,3831.585563,0,0
1,0.02,0.415,341.75,1.437,1058.091885,0.343756807,0,3822.716356,0,0
1,0.03,0.499,388,1.607,1272.259881,0.429902058,0,3814.553156,0,0
1,0.04,0.578,433.75,1.795,1473.679782,0.536372713,0,3806.478207,0,0
1,0.05,0.649,478,1.984,1654.702731,0.655271238,0,3798.66801,0,0
1,0.06,0.709,532.25,2.169,1807.679871,0.783171499,0,3789.092796,0,0
1,0.07,0.754,578,2.342,1922.412726,0.913085722,0,3781.017847,0,0
1,0.08,0.786,626,2.518,2004.000534,1.055478088,0,3772.545769,0,0
1,0.09,0.806,678.25,2.682,2054.992914,1.19744429,0,3763.323559,0,0
1,0.1,0.816,732.5,2.849,2080.489104,1.351209434,0,3753.748346,0,0
1,0.11,0.819,790.5,3.014,2088.137961,1.512252344,0,3743.511251,0,0
1,0.12,0.82,851,3.194,2090.68758,1.698273347,0,3732.832903,0,0
1,0.13,0.823,915.5,3.386,2098.336437,1.908585754,0,3721.448548,0,0
1,0.14,0.832,980.25,3.451,2121.283008,1.982566159,0,3710.020068,0,0
1,0.15,0.848,1043.25,3.657,2162.076912,2.226320529,0,3698.900465,0,0
1,0.16,0.869,1101.5,3.873,2215.618911,2.497081771,0,3688.619245,0,0
1,0.17,0.891,1171,4.094,2271.710529,2.790187874,0,3676.352382,0,0
1,0.18,0.913,1227,4.318,2327.802147,3.103866591,0,3666.468291,0,0
1,0.19,0.934,1292.25,4.544,2381.344146,3.437276079,0,3654.95156,0,0
1,0.2,0.952,1348,4.771,2427.237288,3.789279178,0,3645.111594,0,0
1,0.21,0.968,1410.75,5,2468.031192,4.16176716,0,3634.036117,0,0
1,0.22,0.98,1471.5,5.229,2498.62662,4.551714921,0,3623.313644,0,0
1,0.23,0.99,1542,5.455,2524.12281,4.953672377,0,3610.870279,0,0
1,0.24,0.997,1608.5,5.684,2541.970143,5.378310965,0,3599.132921,0,0
1,0.25,1.003,1677,5.912,2557.267857,5.818440815,0,3587.042559,0,0
1,0.26,1.008,1747.5,6.145,2570.015952,6.286103751,0,3574.599195,0,0
1,0.27,1.013,1816,6.376,2582.764047,6.767595408,0,3562.508833,0,0
1,0.28,1.016,1888.75,6.605,2590.412904,7.262454327,0,3549.66834,0,0
1,0.29,1.019,1954.5,6.842,2598.061761,7.79298625,0,3538.063358,0,0
1,0.3,1.022,2028.75,7.076,2605.710618,8.335149979,0,3524.958112,0,0
1,0.31,1.025,2103,7.311,2613.359475,8.897978214,0,3511.852866,0,0
1,0.32,1.028,2166.5,7.553,2621.008332,9.496787923,0,3500.645013,0,0
1,0.33,1.034,2234.75,7.796,2636.306046,10.11769145,0,3488.598777,0,0
