time,dt_s,speed_mps,motor_rpm,drive_torque_per_motor_Nm,regen_torque_per_motor_Nm,torque_per_motor_Nm,total_motor_torque_Nm,friction_brake_force_N
0,0.0676,7.3972,4508.7,86.3978,0,86.3978,345.5913,0
0.0676,0.0386,12.967,7903.6,80.4887,0,80.4887,321.9549,0
0.1062,0.0384,13.0158,7933.4,7.5033,0,7.5033,30.0134,0
0.1446,0.0382,13.1026,7986.3,8.6937,0,8.6937,34.7747,0
0.1827,0.0378,13.2142,8054.3,6.5489,0,6.5489,26.1956,0
0.2206,0.0375,13.3217,8119.8,4.6715,0,4.6715,18.6861,0
0.2581,0.0372,13.4364,8189.8,3.719,0,3.719,14.8759,0
0.2953,0.037,13.522,8241.9,3.164,0,3.164,12.6562,0
0.3323,0.0368,13.601,8290.1,3.0971,0,3.0971,12.3885,0
0.3691,0.0365,13.6915,8345.2,3.3001,0,3.3001,13.2003,0
0.4056,0.0363,13.7625,8388.5,3.6982,0,3.6982,14.7929,0
0.4419,0.0362,13.8177,8422.2,4.8873,0,4.8873,19.549,0
0.4781,0.036,13.8722,8455.4,5.5698,0,5.5698,22.2791,0
0.5141,0.0359,13.9216,8485.5,6.6604,0,6.6604,26.6414,0
0.55,0.0358,13.9546,8505.6,7.8614,0,7.8614,31.4458,0
0.5859,0.0358,13.9665,8512.8,7.3651,0,7.3651,29.4603,0
0.6217,0.0357,14.0062,8537,8.9679,0,8.9679,35.8717,0
0.6574,0.0355,14.0848,8584.9,10.8528,0,10.8528,43.411,0
0.6929,0.0353,14.1824,8644.5,10.9676,0,10.9676,43.8705,0
0.7281,0.035,14.3022,8717.5,9.7622,0,9.7622,39.0489,0
0.7631,0.0346,14.4531,8809.4,8.9456,0,8.9456,35.7826,0
0.7977,0.0342,14.6169,8909.3,9.8989,0,9.8989,39.5956,0
0.8319,0.0339,14.7542,8992.9,9.3339,0,9.3339,37.3354,0
0.8658,0.0336,14.8839,9072,8.1807,0,8.1807,32.7228,0
0.8994,0.0333,15.0277,9159.7,9.2558,0,9.2558,37.0231,0
0.9326,0.0329,15.2037,9266.9,10.3029,0,10.3029,41.2118,0
0.9655,0.0325,15.4072,9391,9.424,0,9.424,37.6961,0
0.998,0.0321,15.5829,9498.1,7.7454,0,7.7454,30.9818,0
1.0301,0.0318,15.733,9589.6,5.8736,0,5.8736,23.4942,0
1.0618,0.0315,15.8656,9670.4,4.6926,0,4.6926,18.7705,0
1.0934,0.0313,15.9716,9735,4.2383,0,4.2383,16.9532,0
1.1247,0.0311,16.0588,9788.2,4.5426,0,4.5426,18.1704,0
1.1558,0.031,16.1312,9832.3,5.4234,0,5.4234,21.6935,0
1.1868,0.0309,16.2013,9875,6.1534,0,6.1534,24.6134,0
1.2177,0.0308,16.2562,9908.5,6.0667,0,6.0667,24.2668,0
1.2484,0.0307,16.2765,9920.8,6.096,0,6.096,24.3841,0
1.2791,0.0307,16.28,9923,6.8149,0,6.8149,27.2597,0
1.3099,0.0307,16.2734,9919,6.9083,0,6.9083,27.633,0
1.3406,0.0307,16.2607,9911.2,7.5158,0,7.5158,30.0631,0
1.3713,0.0308,16.2523,9906.1,8.2129,0,8.2129,32.8516,0
1.4021,0.0308,16.2394,9898.2,8.4482,0,8.4482,33.7927,0
1.4329,0.0308,16.224,9888.8,8.3865,0,8.3865,33.546,0
1.4637,0.0308,16.2147,9883.2,8.4848,0,8.4848,33.939,0
1.4945,0.0308,16.2105,9880.6,8.7799,0,8.7799,35.1196,0
1.5254,0.0308,16.2212,9887.1,9.0956,0,9.0956,36.3823,0
1.5562,0.0308,16.2398,9898.5,9.8876,0,9.8876,39.5503,0
1.587,0.0307,16.2661,9914.5,9.9778,0,9.9778,39.9111,0
1.6177,0.0306,16.3193,9946.9,8.9997,0,8.9997,35.9987,0
1.6484,0.0305,16.3904,9990.3,7.6917,0,7.6917,30.7667,0
1.6789,0.0304,16.4641,10035,6.5245,0,6.5245,26.0979,0
1.7092,0.0302,16.5332,10077,5.5234,0,5.5234,22.0937,0
1.7395,0.0301,16.5954,10115,4.1977,0,4.1977,16.7909,0
1.7696,0.03,16.6641,10157,3.534,0,3.534,14.1361,0
1.7996,0.0299,16.7352,10200,3.6409,0,3.6409,14.5637,0
1.8295,0.0297,16.8083,10245,3.8463,0,3.8463,15.3854,0
1.8592,0.0296,16.889,10294,4.0865,0,4.0865,16.3461,0
1.8888,0.0295,16.9765,10348,4.9477,0,4.9477,19.7908,0
1.9183,0.0293,17.0688,10404,6.3171,0,6.3171,25.2682,0
1.9476,0.0292,17.1512,10454,6.2398,0,6.2398,24.9593,0
1.9767,0.029,17.2152,10493,5.692,0,5.692,22.768,0
2.0058,0.029,17.2696,10526,5.5157,0,5.5157,22.0628,0
2.0347,0.0288,17.3314,10564,5.8551,0,5.8551,23.4204,0
2.0636,0.0287,17.4082,10611,6.6331,0,6.6331,26.5324,0
2.0923,0.0286,17.4869,10659,6.2697,0,6.2697,25.079,0
2.1209,0.0285,17.5557,10701,5.532,0,5.532,22.1279,0
2.1494,0.0284,17.6188,10739,5.4202,0,5.4202,21.6809,0
2.1778,0.0283,17.6809,10777,5.5139,0,5.5139,22.0556,0
2.206,0.0282,17.7437,10815,5.1488,0,5.1488,20.5951,0
2.2342,0.0281,17.8056,10853,5.0608,0,5.0608,20.243,0
2.2623,0.028,17.8685,10891,5.2753,0,5.2753,21.1012,0
2.2903,0.0279,17.9322,10930,4.9305,0,4.9305,19.7221,0
2.3182,0.0278,17.9955,10969,4.8665,0,4.8665,19.4659,0
2.346,0.0277,18.0655,11011,4.7013,0,4.7013,18.8053,0
2.3736,0.0276,18.1392,11056,4.3217,0,4.3217,17.2866,0
2.4012,0.0275,18.2097,11099,3.8647,0,3.8647,15.4587,0
2.4287,0.0274,18.2626,11131,3.196,0,3.196,12.7841,0
2.456,0.0273,18.2961,11152,2.7281,0,2.7281,10.9125,0
2.4834,0.0273,18.3236,11169,2.6975,0,2.6975,10.79,0
2.5106,0.0272,18.3528,11186,2.8322,0,2.8322,11.3288,0
2.5379,0.0272,18.3871,11207,3.0488,0,3.0488,12.1953,0
2.5651,0.0271,18.4209,11228,3.1616,0,3.1616,12.6465,0
2.5922,0.0271,18.4404,11240,2.8823,0,2.8823,11.5294,0
2.6193,0.0271,18.4457,11243,2.6385,0,2.6385,10.5538,0
2.6464,0.0271,18.4518,11247,3.1788,0,3.1788,12.7152,0
2.6735,0.0271,18.4679,11257,3.9841,0,3.9841,15.9363,0
2.7006,0.027,18.4904,11270,4.3848,0,4.3848,17.5394,0
2.7277,0.027,18.5059,11280,4.1806,0,4.1806,16.7224,0
2.7547,0.027,18.512,11283,4.4756,0,4.4756,17.9023,0
2.7817,0.027,18.5139,11285,4.4223,0,4.4223,17.6892,0
2.8087,0.027,18.5244,11291,4.5428,0,4.5428,18.1714,0
2.8357,0.027,18.548,11305,5.3298,0,5.3298,21.3191,0
2.8626,0.0269,18.5636,11315,5.2871,0,5.2871,21.1484,0
2.8896,0.0269,18.5577,11311,4.3168,0,4.3168,17.2673,0
2.9165,0.027,18.5367,11299,4.1161,0,4.1161,16.4646,0
2.9435,0.027,18.5269,11292,5.5324,0,5.5324,22.1298,0
2.9705,0.027,18.5406,11301,6.9764,0,6.9764,27.9055,0
2.9975,0.0269,18.5589,11312,6.9167,0,6.9167,27.6668,0
3.0244,0.0269,18.5632,11315,6.13,0,6.13,24.5199,0
3.0513,0.0269,18.5548,11310,5.4648,0,5.4648,21.8593,0
3.0783,0.027,18.5519,11308,5.1779,0,5.1779,20.7114,0
3.1052,0.0269,18.5556,11310,5.3196,0,5.3196,21.2784,0
3.1322,0.0269,18.5567,11311,5.6584,0,5.6584,22.6334,0
3.1591,0.027,18.5527,11308,6.3253,0,6.3253,25.3012,0
3.1861,0.0269,18.5612,11313,6.4626,0,6.4626,25.8506,0
3.213,0.0269,18.5842,11327,5.9391,0,5.9391,23.7563,0
3.2399,0.0269,18.6141,11346,5.9284,0,5.9284,23.7136,0
3.2668,0.0268,18.6323,11357,6.1546,0,6.1546,24.6183,0
3.2936,0.0268,18.6343,11358,4.6111,0,4.6111,18.4442,0
3.3204,0.0268,18.6362,11359,3.8951,0,3.8951,15.5805,0
3.3473,0.0268,18.6518,11369,5.7167,0,5.7167,22.8668,0
3.3741,0.0267,18.6937,11394,6.8617,0,6.8617,27.4469,0
3.4008,0.0267,18.7418,11424,6.0016,0,6.0016,24.0063,0
3.4275,0.0266,18.7789,11446,4.7014,0,4.7014,18.8056,0
3.4541,0.0266,18.8086,11464,4.2371,0,4.2371,16.9484,0
3.4807,0.0265,18.859,11495,3.8912,0,3.8912,15.565,0
3.5072,0.0264,18.9185,11531,3.7066,0,3.7066,14.8262,0
3.5337,0.0264,18.9699,11563,3.8937,0,3.8937,15.575,0
3.56,0.0263,19.0135,11589,2.7274,0,2.7274,10.9097,0
3.5863,0.0263,19.0437,11608,2.1773,0,2.1773,8.7093,0
3.6126,0.0262,19.0747,11626,2.6876,0,2.6876,10.7504,0
3.6388,0.0261,19.1303,11660,3.3284,0,3.3284,13.3137,0
3.6649,0.0261,19.1906,11697,3.5021,0,3.5021,14.0086,0
3.691,0.026,19.2404,11727,4.0981,0,4.0981,16.3924,0
3.717,0.0259,19.2692,11745,4.5204,0,4.5204,18.0817,0
3.7429,0.0259,19.2981,11763,4.3029,0,4.3029,17.2117,0
3.7688,0.0258,19.3447,11791,4.4895,0,4.4895,17.9578,0
3.7947,0.0258,19.4037,11827,5.1698,0,5.1698,20.6793,0
3.8204,0.0257,19.4508,11856,5.1568,0,5.1568,20.6274,0
3.8461,0.0257,19.4556,11859,3.2974,0,3.2974,13.1894,0
3.8718,0.0258,19.4165,11835,1.4197,0,1.4197,5.6788,0
3.8976,0.0258,19.3666,11804,1.7685,0,1.7685,7.0739,0
3.9234,0.0259,19.3401,11788,2.9121,0,2.9121,11.6486,0
3.9493,0.0259,19.3289,11781,2.8878,0,2.8878,11.5513,0
3.9751,0.0259,19.3109,11770,3.0521,0,3.0521,12.2085,0
4.001,0.0259,19.2955,11761,2.673,0,2.673,10.692,0
4.0269,0.0259,19.2912,11758,2.553,0,2.553,10.2118,0
4.0528,0.0259,19.3015,11765,3.3772,0,3.3772,13.5088,0
4.0787,0.0259,19.3242,11778,4.2968,0,4.2968,17.1872,0
4.1046,0.0258,19.3466,11792,3.6581,0,3.6581,14.6323,0
4.1305,0.0258,19.3461,11792,2.3583,0,2.3583,9.4333,0
4.1563,0.0259,19.3253,11779,2.0767,0,2.0767,8.3069,0
4.1822,0.0259,19.3135,11772,2.7741,0,2.7741,11.0965,0
4.2081,0.0259,19.3272,11780,3.5208,0,3.5208,14.083,0
4.2339,0.0258,19.3528,11796,3.4377,0,3.4377,13.7506,0
4.2598,0.0258,19.3718,11807,2.8671,0,2.8671,11.4685,0
4.2856,0.0258,19.3806,11813,2.3272,0,2.3272,9.309,0
4.3114,0.0258,19.3936,11821,2.2024,0,2.2024,8.8095,0
4.3372,0.0258,19.4031,11827,2.0807,0,2.0807,8.323,0
4.3629,0.0258,19.41,11831,2.3883,0,2.3883,9.5532,0
4.3887,0.0257,19.4222,11838,2.2605,0,2.2605,9.042,0
4.4144,0.0257,19.442,11850,2.2653,0,2.2653,9.0613,0
4.4402,0.0257,19.4634,11863,2.6238,0,2.6238,10.4953,0
4.4659,0.0257,19.4872,11878,2.853,0,2.853,11.412,0
4.4915,0.0256,19.5221,11899,3.0684,0,3.0684,12.2734,0
4.5171,0.0255,19.5702,11928,3.1422,0,3.1422,12.5687,0
4.5427,0.0255,19.6196,11959,2.8967,0,2.8967,11.5867,0
4.5682,0.0254,19.6559,11981,2.3853,0,2.3853,9.5414,0
4.5936,0.0254,19.6774,11994,2.0676,0,2.0676,8.2703,0
4.619,0.0254,19.6959,12005,2.1984,0,2.1984,8.7935,0
4.6444,0.0253,19.7259,12023,2.6093,0,2.6093,10.4371,0
4.6697,0.0253,19.7646,12047,2.7883,0,2.7883,11.1534,0
4.695,0.0252,19.802,12070,2.7519,0,2.7519,11.0078,0
4.7203,0.0252,19.8349,12090,2.5135,0,2.5135,10.054,0
4.7455,0.0252,19.8616,12106,2.6179,0,2.6179,10.4715,0
4.7707,0.0251,19.8948,12126,2.9112,0,2.9112,11.645,0
4.7958,0.0251,19.9277,12146,2.7799,0,2.7799,11.1197,0
4.8209,0.0251,19.9571,12164,2.3672,0,2.3672,9.4686,0
4.8459,0.025,19.9769,12176,2.3486,0,2.3486,9.3945,0
4.871,0.025,19.996,12188,2.4887,0,2.4887,9.9549,0
