# BOSCH-DARAB extract file created 02.04.2026 13:53:22
#
# Data from source file "f34_20260324_23----	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260401 First Skidpad & AutoX\Data\f34_20260324_234140.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260401 First Skidpad & AutoX\Data\f34_20260324_235017.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260401 First Skidpad & AutoX\Data\f34_20260324_235339.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260401 First Skidpad & AutoX\Data\f34_20260324_235628.bmsbin	CDarabFileGroup"
# where 0.000 <= xtime <= 948.996
# 
xtime    [s]	2_SSDB_brake_pressure_front_raw[none]	2_VC_PedalInputsRaw_BrakesRear_ADC[none]	Accel X Calibrated[]
          0.000	            355	            408	          0.795
          0.100	            355	            408	          1.264
          0.200	            359	            407	          1.298
          0.300	            358	            407	          1.662
          0.400	            360	            405	          1.173
          0.500	            359	            406	          1.281
          0.600	            361	            405	          1.539
          0.700	            359	            406	          1.291
          0.800	            357	            405	          0.780
          0.900	            357	            405	          0.461
          1.000	            360	            405	          1.008
          1.100	            358	            407	          1.774
          1.200	            362	            407	          0.530
          1.300	            357	            406	          2.416
          1.400	            362	            407	          2.671
          1.500	            360	            405	          2.506
          1.600	            357	            406	          3.046
          1.700	            357	            406	          4.022
          1.800	            358	            406	          6.526
          1.900	            356	            409	          7.085
          2.000	            356	            407	          6.723
          2.100	            356	            406	          5.962
          2.200	            360	            410	          5.396
          2.300	            356	            409	          5.299
          2.400	            359	            409	          4.992
          2.500	            356	            409	          5.747
          2.600	            356	            407	          4.335
          2.700	            359	            406	          3.132
          2.800	            360	            407	          4.653
          2.900	            361	            407	          3.879
          3.000	            355	            407	          4.938
          3.100	            359	            408	          5.261
          3.200	            356	            408	          5.477
          3.300	            358	            407	          3.111
          3.400	            359	            409	          3.730
          3.500	            363	            409	          5.330
          3.600	            363	            409	          3.848
          3.700	            360	            406	          5.241
          3.800	            357	            407	          4.415
          3.900	            357	            405	          5.742
          4.000	            357	            408	          6.349
          4.100	            361	            408	          5.119
          4.200	            361	            406	          3.552
          4.300	            358	            406	          4.383
          4.400	            360	            407	          2.966
          4.500	            363	            407	          4.902
          4.600	            356	            407	          4.567
          4.700	            356	            406	          3.092
          4.800	            358	            409	          4.725
          4.900	            361	            408	          4.038
