# BOSCH-DARAB extract file created 07.04.2026 20:47:49
#
# Data from source file "f34_20260325_0-----	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260404 AutoX\f34_20260325_035409.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260404 AutoX\f34_20260325_035438.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260404 AutoX\f34_20260325_035848.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260404 AutoX\f34_20260325_041206.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260404 AutoX\f34_20260325_041743.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260404 AutoX\f34_20260325_042855.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260404 AutoX\f34_20260325_043407.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260404 AutoX\f34_20260325_043721.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260404 AutoX\f34_20260325_044154.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260404 AutoX\f34_20260325_044407.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260404 AutoX\f34_20260325_044439.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260404 AutoX\f34_20260325_044652.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260404 AutoX\f34_20260325_045101.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260404 AutoX\f34_20260325_051559.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260404 AutoX\f34_20260325_051813.bmsbin	CDarabFileGroup"
# where 0.000 <= xtime <= 4628.965
# 
xtime    [s]	2_SSDB_brake_pressure_front_raw[none]	2_VC_PedalInputsRaw_BrakesRear_ADC[none]	Accel X Calibrated[]
          0.000	            357	            409	          0.018
          0.100	            357	            409	         -0.012
          0.200	            362	            407	         -0.019
          0.300	            357	            407	          0.014
          0.400	            364	            407	         -0.002
          0.500	            362	            407	         -0.007
          0.600	            361	            407	         -0.008
          0.700	            359	            407	          0.010
          0.800	            360	            408	         -0.001
          0.900	            356	            409	         -0.013
          1.000	            356	            408	          0.006
          1.100	            359	            409	          0.004
          1.200	            361	            405	         -0.003
          1.300	            358	            406	          0.006
          1.400	            363	            407	          0.003
          1.500	            357	            408	         -0.004
          1.600	            364	            409	          0.000
          1.700	            364	            407	          0.007
          1.800	            358	            406	          0.003
          1.900	            359	            406	          0.005
          2.000	            363	            406	         -0.002
          2.100	            363	            407	         -0.018
          2.200	            359	            406	         -0.022
          2.300	            359	            407	         -0.002
          2.400	            358	            406	          0.020
          2.500	            358	            407	         -0.011
          2.600	            362	            407	          0.016
          2.700	            357	            407	         -0.032
          2.800	            359	            407	          0.007
          2.900	            357	            406	          0.006
          3.000	            364	            407	          0.001
          3.100	            358	            406	          0.002
          3.200	            362	            405	          0.010
          3.300	            360	            407	         -0.005
          3.400	            357	            408	         -0.000
          3.500	            363	            408	          0.048
          3.600	            360	            407	         -0.024
          3.700	            359	            407	          0.019
          3.800	            357	            407	         -0.036
          3.900	            361	            409	          0.004
          4.000	            361	            406	          0.013
          4.100	            358	            409	         -0.030
          4.200	            358	            406	          0.054
          4.300	            362	            407	         -0.011
          4.400	            359	            407	         -0.027
          4.500	            357	            407	          0.044
          4.600	            358	            407	         -0.022
          4.700	            363	            407	          0.019
          4.800	            355	            407	         -0.031
          4.900	            361	            407	         -0.042
          5.000	            363	            407	         -0.019
          5.100	            357	            406	         -0.022
          5.200	            360	            407	         -0.017
          5.300	            363	            407	         -0.014
          5.400	            363	            408	         -0.001
          5.500	            363	            406	          0.002
          5.600	            360	            406	         -0.011
          5.700	            363	            407	         -0.010
          5.800	            360	            407	         -0.007
          5.900	            361	            406	          0.002
          6.000	            363	            406	          0.015
          6.100	            360	            406	          0.013
          6.200	            359	            407	         -0.026
          6.300	            358	            407	          0.007
          6.400	            358	            407	         -0.025
          6.500	            358	            408	         -0.002
