xtime    [s]	2_SSDB_brake_pressure_front_raw[none]	2_VC_PedalInputsRaw_BrakesRear_ADC[none]	Accel X Calibrated[]	Front Brake Pressure [psi]	Rear Brake Pressure [psi]	Brake Bias					
0	361	408	-0.014	71.7375	129.9	35.58%			Max Front Brake Pressure	1051.8375	
0.1	361	408	-0.014	71.7375	129.9	35.58%			Max Rear Brake Pressure	1385.9625	
0.2	359	406	-0.014	69.2625	127.425	35.21%			Max Braking Decel	-15.671	-1.59745158
0.3	359	407	-0.014	69.2625	128.6625	34.99%					
0.4	360	407	-0.014	70.5	128.6625	35.40%					
0.5	364	407	-0.014	75.45	128.6625	36.96%					
0.6	362	406	-0.014	72.975	127.425	36.41%					
0.7	358	407	-0.014	68.025	128.6625	34.59%					
0.8	358	406	-0.014	68.025	127.425	34.80%					
0.9	361	407	-0.014	71.7375	128.6625	35.80%					
1	365	407	-0.014	76.6875	128.6625	37.34%					
1.1	359	406	-0.014	69.2625	127.425	35.21%					
1.2	363	407	-0.014	74.2125	128.6625	36.58%					
1.3	361	407	-0.014	71.7375	128.6625	35.80%					
1.4	358	407	-0.014	68.025	128.6625	34.59%					
1.5	360	408	-0.014	70.5	129.9	35.18%					
1.6	359	407	-0.014	69.2625	128.6625	34.99%					
1.7	359	407	-0.014	69.2625	128.6625	34.99%					
1.8	359	407	-0.014	69.2625	128.6625	34.99%					
1.9	357	406	-0.014	66.7875	127.425	34.39%					
2	362	406	-0.014	72.975	127.425	36.41%					
2.1	361	407	-0.014	71.7375	128.6625	35.80%					
2.2	360	406	-0.014	70.5	127.425	35.62%					
2.3	358	406	-0.014	68.025	127.425	34.80%					
2.4	360	407	-0.014	70.5	128.6625	35.40%					
2.5	365	406	-0.014	76.6875	127.425	37.57%					
2.6	363	406	-0.014	74.2125	127.425	36.80%					
2.7	362	406	-0.014	72.975	127.425	36.41%					
2.8	364	407	-0.014	75.45	128.6625	36.96%					
2.9	362	406	-0.014	72.975	127.425	36.41%					
3	364	407	-0.014	75.45	128.6625	36.96%					
3.1	361	407	-0.014	71.7375	128.6625	35.80%					
3.2	361	407	-0.014	71.7375	128.6625	35.80%					
