SessionKey,SessionType,Status,SegmentNumber,SegmentsCombined,SourceStart_s,SourceEnd_s,Duration_s,OutputFile,MissingChannels,EstimatedChannels,SourceFiles
autox42,autocross_run,skipped_missing_temperature,0,0,NaN,NaN,NaN,,tempFLRaw; tempFRRaw; tempRLRaw; tempRRRaw; torqueFL; rpmFL; torqueFR; rpmFR; torqueRL; rpmRL; torqueRR; rpmRR; speed,,AutoX 4-2.txt
autox43,autocross_run,skipped_missing_temperature,0,0,NaN,NaN,NaN,,tempFLRaw; tempFRRaw; tempRLRaw; tempRRRaw; torqueFL; rpmFL; torqueFR; rpmFR; torqueRL; rpmRL; torqueRR; rpmRR; speed,,AutoX 4-3.txt
autox527,autocross_run,exported_incomplete_combined,0,5,63.8999999999978,3966.6,2240.5,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_combined\autox527_autocross_run_combined.txt,tempFLRaw; tempRLRaw,,AutoX 5-27.txt
brakebedding327,braking_event,skipped_missing_temperature,0,0,NaN,NaN,NaN,,tempFLRaw; tempFRRaw; tempRLRaw; tempRRRaw; torqueFL; rpmFL; torqueFR; rpmFR; torqueRL; rpmRL; torqueRR; rpmRR; speed,,Brake Bedding 3-27.txt
brakestesting611,braking_event,exported_incomplete_combined,0,12,1403.5,5609.4,1168.8,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_combined\brakestesting611_braking_event_combined.txt,tempFLRaw; tempRLRaw,,BrakesTesting 6-11.txt
endurance417,endurance_stint,exported_incomplete_combined,0,3,2853.3,5280.9,2162.3,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_combined\endurance417_endurance_stint_combined.txt,tempFLRaw; tempRLRaw,,Endurance 4-17.txt
endurance519,endurance_stint,exported_incomplete_combined,0,2,9413.6,12186.9,2688.3,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_combined\endurance519_endurance_stint_combined.txt,tempFLRaw; tempRLRaw,,Endurance 5-19.txt
endurance529,endurance_stint,exported_incomplete_combined,0,2,91.1,3676.8,3176.3,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_combined\endurance529_endurance_stint_combined.txt,tempFLRaw; tempRLRaw,,Endurance 5-29.txt
endurance65,endurance_stint,exported_incomplete_combined,0,1,8.20000000000073,1844.5,1836.3,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_combined\endurance65_endurance_stint_combined.txt,tempFLRaw; tempRLRaw,,Endurance 6-5.txt
endurance612,endurance_stint,skipped_unstable_temperature_start,0,0,NaN,NaN,NaN,,,,Endurance 6-12.txt
endurosetuptesting515,moving_event,exported_incomplete_combined,0,4,72.1,4893.6,1700.4,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_combined\endurosetuptesting515_moving_event_combined.txt,tempFLRaw; tempRLRaw,,Enduro Setup Testing 5-15.txt
firstendurancenoaeronoregen417,endurance_stint,exported_incomplete_combined,0,2,2.59999999999991,1470.5,1417.9,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_combined\firstendurancenoaeronoregen417_endurance_stint_combined.txt,tempFLRaw; tempRLRaw,,First Endurance No Aero No Regen 4-17.txt
