# F34 BrakeDataPreprocessor optimizer-compatible export
# Source session: endurance417
# Segment type: endurance_stint | combined 3 segments | source ranges: 2853.300-3359.900 s, 3575.200-4503.400 s, 4553.600-5280.900 s
# Source files: Endurance 4-17.txt
# Format: no_drs_21_column | estimated: none | missing-as-NaN: tempFLRaw, tempRLRaw | startup-cleaning: trimmed 0.00 s, start 21.2 C, spikes 253
Time_s	FL_RotorTemp_RAW	FR_RotorTemp_RAW	RL_RotorTemp_RAW	RR_RotorTemp_RAW	Steering_pct	FrontBrakePressure_RAW	AccelPedalA_pct	AccelPedalB_pct	Reserved	RearBrakePressure_RAW	FL_FeedbackTorque_pctMn	FL_FeedbackVelocity_rpm	FR_FeedbackTorque_pctMn	FR_FeedbackVelocity_rpm	RL_FeedbackTorque_pctMn	RL_FeedbackVelocity_rpm	RR_FeedbackTorque_pctMn	RR_FeedbackVelocity_rpm	Velocity_mps	AccelX_mps2
0	NaN	483	NaN	482	74	357	0	0	0	406	0	0	0	-0	-0	0	0	0	0.002	-0.004
0.1	NaN	482	NaN	483	72	359	0	0	0	408	0	0	0	-0	0	-0	0	0	0.002	0.018
0.2	NaN	486	NaN	483	72	360	0	0	0	408	0	-0	0	0	0	-0	-0	0	0.005	-0.003
0.3	NaN	484	NaN	482	74	359	0	0	0	408	0	-0	0	0	0	0	0	-0	0.005	-0.001
0.4	NaN	482	NaN	481	73	363	0	0	0	406	0	-0	-0	-0	0	-0	0	-0	0.005	-0.017
0.5	NaN	480	NaN	481	74	359	0	0	0	409	0	-0	0	-0	0	0	-0	0	0.006	-0.004
0.6	NaN	486	NaN	480	73	357	0	0	0	408	-0	-0	0	-0	-0	-0	-0	0	0.007	0.007
0.7	NaN	484	NaN	480	73	361	0	0	0	405	0	0	0	-0	0	-0	-0	-0	0.008	-0.003
0.8	NaN	485	NaN	482	72	355	0	0	0	407	-0	0	-0	0	0	0	-0	0	0.007	-0.011
0.9	NaN	489	NaN	481	72	356	0	0	0	407	0	-0	0	-0	0	0	0	-0	0.008	0.02
1	NaN	484	NaN	481	73	363	0	0	0	407	0	0	-0	-0	0	-0	-0	-0	0.003	-0.011
1.1	NaN	484	NaN	482	72	360	0	0	0	408	0	-0	0	-0	0	0	-0	0	0.004	-0.011
1.2	NaN	484	NaN	482	73	362	0	0	0	407	-0	0	0	0	-0	0	-0	0	0.004	-0.006
1.3	NaN	481	NaN	482	73	357	0	0	0	407	0	-0	0	-0	0	-0	-0	-0	0.005	-0.005
1.4	NaN	480	NaN	483	71	355	0	0	0	407	0	0	0	0	0	-0	0	0	0.008	0.022
1.5	NaN	481	NaN	482	72	357	0	0	0	407	0	0	0	-0	0	0	0	0	0.009	-0.012
1.6	NaN	483	NaN	483	74	361	0	0	0	407	0	0	-0	-0	-0	-0	0	-0	0.009	-0.004
1.7	NaN	482	NaN	482	73	360	0	0	0	408	-0	0	-0	-0	-0	-0	-0	-0	0.009	-0.009
1.8	NaN	488	NaN	482	72	357	0	0	0	407	0	0	0	0	0	0	0	-0	0.002	-0.018
1.9	NaN	485	NaN	481	73	359	0	0	0	406	0	0	0	0	-0	0	-0	0	0.004	0.008
2	NaN	481	NaN	481	74	364	0	0	0	408	0	-0	0	0	0	0	-0	-0	-0.004	-0.029
2.1	NaN	487	NaN	480	72	358	0	0	0	408	-0	0	0	0	-0	0	0	-0	-0.003	-0.023
2.2	NaN	482	NaN	482	73	359	0	0	0	407	-0	0	0	0	-0	-0	0	0	-0.004	-0.03
2.3	NaN	484	NaN	482	72	359	0	0	0	408	0	-0	0	0	0	-0	0	0	-0.004	0.015
2.4	NaN	486	NaN	482	72	357	0	0	0	406	0	-0	0	-0	-0	0	0	-0	-0.005	0.012
2.5	NaN	480	NaN	483	73	361	0	0	0	408	0	0	-0	0	0	0	0	0	-0.004	0.012
2.6	NaN	483	NaN	481	73	358	0	0	0	408	0	-0	0	-0	0	0	-0	-0	-0.004	-0.027
2.7	NaN	486	NaN	482	72	360	0	0	0	406	0	-0	0	0	0	-0	-0	0	-0.003	0.01
2.8	NaN	483	NaN	483	72	359	0	0	0	407	0	0	-0	0	-0	0	0	0	-0.002	-0.01
2.9	NaN	481	NaN	481	73	360	0	0	0	405	0	0	0	-0	0	0	0	-0	-0.002	-0.024
3	NaN	480	NaN	482	73	359	0	0	0	405	0	0	0	-0	0	0	-0	-0	-0.004	0.004
3.1	NaN	485	NaN	483	72	359	0	0	0	405	0	0	0	-0	0	0	-0	-0	-0.004	-0.02
3.2	NaN	481	NaN	482	74	363	0	0	0	408	0	-0	0	-0	-0	-0	-0	0	-0.002	0.009
3.3	NaN	483	NaN	480	73	360	0	0	0	407	0	-0	-0	0	0	-0	-0	-0	-0.001	-0.013
3.4	NaN	484	NaN	481	73	358	0	0	0	407	0	-0	0	0	0	0	-0	-0	0	-0.005
3.5	NaN	482	NaN	480	73	360	0	0	0	407	0	0	0	0	0	-0	-0	-0	0.001	0.008
3.6	NaN	482	NaN	480	73	359	0	0	0	408	0	0	0	0	0	0	0	0	0.002	-0.002
3.7	NaN	483	NaN	482	73	362	0	0	0	408	-0	-0	0	-0	-0	-0	-0	0	0.002	-0.001
3.8	NaN	479	NaN	480	74	362	0	0	0	409	0	0	0	-0	0	-0	-0	-0	0.003	-0.009
3.9	NaN	483	NaN	481	74	361	0	0	0	407	-0	-0	-0	0	-0	0	-0	-0	0.003	-0.011
4	NaN	479	NaN	481	74	362	0	0	0	408	0	0	0	0	0	-0	-0	0	0.005	0.008
4.1	NaN	478	NaN	484	74	363	0	0	0	407	0	0	-0	0	0	0	0	0	0.005	-0.005
4.2	NaN	483	NaN	482	73	361	0	0	0	407	0	0	-0	-0	0	0	-0	-0	0.003	0
4.3	NaN	486	NaN	480	72	358	0	0	0	407	0	0	-0	0	0	-0	0	-0	0.004	0.014
4.4	NaN	486	NaN	479	72	360	0	0	0	408	0	-0	0	0	-0	0	0	-0	0.005	-0.006
4.5	NaN	484	NaN	479	71	358	0	0	0	408	0	-0	0	-0	0	0	0	0	0.001	-0.036
4.6	NaN	484	NaN	481	73	360	0	0	0	406	-0	0	0	0	0	-0	-0	0	0	-0
4.7	NaN	478	NaN	485	74	363	0	0	0	407	0	0	0	-0	0	0	0	0	0.001	-0.009
4.8	NaN	486	NaN	482	72	357	0	0	0	409	0	0	0	0	0	-0	0	0	0.001	-0.005
4.9	NaN	482	NaN	484	72	358	0	0	0	407	0	0	-0	-0	0	-0	-0	-0	0.002	-0.018
5	NaN	483	NaN	482	72	359	0	0	0	408	0	0	-0	0	-0	0	-0	0	0.003	0.001
