# F34 BrakeDataPreprocessor optimizer-compatible export
# Source session: firstendurancenoaeronoregen417
# Segment type: endurance_stint | combined 2 segments | source ranges: 2.600-930.900 s, 981.000-1470.500 s
# Source files: First Endurance No Aero No Regen 4-17.txt
# Format: no_drs_21_column | estimated: none | missing-as-NaN: tempFLRaw, tempRLRaw | startup-cleaning: trimmed 0.00 s, start 34.2 C, spikes 167
Time_s	FL_RotorTemp_RAW	FR_RotorTemp_RAW	RL_RotorTemp_RAW	RR_RotorTemp_RAW	Steering_pct	FrontBrakePressure_RAW	AccelPedalA_pct	AccelPedalB_pct	Reserved	RearBrakePressure_RAW	FL_FeedbackTorque_pctMn	FL_FeedbackVelocity_rpm	FR_FeedbackTorque_pctMn	FR_FeedbackVelocity_rpm	RL_FeedbackTorque_pctMn	RL_FeedbackVelocity_rpm	RR_FeedbackTorque_pctMn	RR_FeedbackVelocity_rpm	Velocity_mps	AccelX_mps2
0	NaN	571	NaN	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	-0.01	-0.016
0.1	NaN	571	NaN	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	-0.01	-0.005
0.2	NaN	571	NaN	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	0.003	-0.011
0.3	NaN	571	NaN	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	0.003	0.043
0.4	NaN	571	NaN	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	0.001	-0.005
0.5	NaN	571	NaN	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	0.002	0.021
0.6	NaN	571	NaN	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	-0.005	0.032
0.7	NaN	571	NaN	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	-0.005	0.007
0.8	NaN	571	NaN	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	-0.003	0.043
0.9	NaN	571	NaN	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	-0.003	0.055
1	NaN	571	NaN	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	-0.004	-0.016
