# F34 BrakeDataPreprocessor optimizer-compatible export
# Source session: endurance519
# Segment type: endurance_stint | combined 4 segments | source ranges: 9443.600-10477.500 s, 10630.400-11228.400 s, 11612.900-11661.600 s, 11876.600-12054.200 s
# Source files: Endurance 5-19.txt
# Format: no_drs_21_column | estimated: none | missing-as-NaN: tempFLRaw, tempRLRaw | startup-cleaning: trimmed 0.00 s, start 22.0 C, spikes 8545
Time_s	FL_RotorTemp_RAW	FR_RotorTemp_RAW	RL_RotorTemp_RAW	RR_RotorTemp_RAW	Steering_pct	FrontBrakePressure_RAW	AccelPedalA_pct	AccelPedalB_pct	Reserved	RearBrakePressure_RAW	FL_FeedbackTorque_pctMn	FL_FeedbackVelocity_rpm	FR_FeedbackTorque_pctMn	FR_FeedbackVelocity_rpm	RL_FeedbackTorque_pctMn	RL_FeedbackVelocity_rpm	RR_FeedbackTorque_pctMn	RR_FeedbackVelocity_rpm	Velocity_mps	AccelX_mps2
0	NaN	523	NaN	522	-3	740	0	0	0	703	-0	0	0	0	0	-0	0	-0	-0.006	-0.349
0.1	NaN	520	NaN	520	-0	763	0	0	0	714	0	0	0	0	-0	-0	0	-0	-0.006	-0.126
0.2	NaN	526	NaN	521	-4	758	0	0	0	712	0	-0	-0	-0	0	0	-0	0	-0.006	0.189
0.3	NaN	526	NaN	521	-1	752	0	0	0	712	0	-0	0	-0	-0	0	0	-0	-0.007	-0.047
0.4	NaN	527	NaN	521	-1	753	0	0	0	709	0	-0	0	0	0	-0	0	-0	-0.008	-0.379
0.5	NaN	518	NaN	521	-0	760	0	0	0	707	0	-0	0	-0	0	0	0	0	-0.009	-0.381
0.6	NaN	1475	NaN	1635	-1	746	0	0	0	701	0	-0	0	-0	0	-0	0	0	-0.009	-0.313
0.7	NaN	1506	NaN	1646	-3	733	0	0	0	699	0	0	0	0	0	-0	0	0	-0.008	-0.29
0.8	NaN	1540	NaN	1688	1	724	0	0	0	688	-0	0	0	0	-0	-0	0	-0	-0.009	-0.14
0.9	NaN	1538	NaN	1732	-2	698	0	0	0	670	0	-0	0	-0	0	0	0	0	-0.009	0.208
1	NaN	1522	NaN	1707	-2	674	0	0	0	647	-0	0	0	-0	0	0	-0	-0	-0.01	-0.008
1.1	NaN	1493	NaN	1690	-1	664	0	0	0	637	-0	0	0	0	0	-0	-0	-0	-0.011	-0.413
1.2	NaN	1544	NaN	1646	-3	584	0	0	0	568	0	0	0	0	0	-0	0	-1	-0.012	-0.445
1.3	NaN	1561	NaN	1688	-2	428	0	0	0	455	0	-0	0	-0	0	0	0	0	-0.011	-0.109
1.4	NaN	1550	NaN	1816	-3	355	0	0	0	403	0	-0	-0	-0	0	0	0	-1	-0.013	-0.027
