# F34 BrakeDataPreprocessor optimizer-compatible export
# Source session: endurance529
# Segment type: endurance_stint | combined 4 segments | source ranges: 91.100-572.700 s, 750.600-1201.900 s, 1903.500-2408.800 s, 2565.300-3498.800 s
# Source files: Endurance 5-29.txt
# Format: drs_22_column | estimated: none | missing-as-NaN: tempFLRaw, tempRLRaw | startup-cleaning: trimmed 0.00 s, start 20.5 C, spikes 6307
Time_s	FL_RotorTemp_RAW	FR_RotorTemp_RAW	RL_RotorTemp_RAW	RR_RotorTemp_RAW	DRS_State	Steering_pct	FrontBrakePressure_RAW	AccelPedalA_pct	AccelPedalB_pct	Reserved	RearBrakePressure_RAW	FL_FeedbackTorque_pctMn	FL_FeedbackVelocity_rpm	FR_FeedbackTorque_pctMn	FR_FeedbackVelocity_rpm	RL_FeedbackTorque_pctMn	RL_FeedbackVelocity_rpm	RR_FeedbackTorque_pctMn	RR_FeedbackVelocity_rpm	Velocity_mps	AccelX_mps2
0	NaN	1710	NaN	1468	0	-1	460	0	0	0	482	-0	-0	-0	0	-0	-0	0	-0	0	0.042
0.1	NaN	1663	NaN	1992	0	-3	457	0	0	0	481	0	-0	-0	-0	-0	0	0	0	0	0.015
0.2	NaN	1729	NaN	2040	0	-2	463	0	0	0	481	0	0	0	0	-0	0	0	0	0	0.056
0.3	NaN	1495	NaN	1842	0	0	463	0	0	0	483	0	0	0	0	0	0	0	0	0	0.019
0.4	NaN	1488	NaN	1812	0	-1	458	0	0	0	481	0	-0	0	0	0	-0	0	0	0	0.068
0.5	NaN	489	NaN	485	0	-4	462	0	0	0	484	-0	-0	-0	-0	0	-0	-0	-0	0	0.049
0.6	NaN	482	NaN	481	0	-3	463	0	0	0	483	0	0	0	-0	0	0	0	0	0	0.053
0.7	NaN	485	NaN	480	0	-3	466	0	0	0	483	0	-0	-0	-0	0	-0	0	0	0	0.038
0.8	NaN	482	NaN	481	0	-1	468	0	0	0	483	0	-0	0	0	0	0	0	-0	0	0.069
0.9	NaN	482	NaN	481	0	-3	463	0	0	0	483	0	-0	0	-0	0	-0	0	-0	0	0.057
1	NaN	488	NaN	481	0	-2	462	0	0	0	479	0	0	0	-0	-0	0	0	-0	0	0.061
1.1	NaN	484	NaN	481	0	-4	462	0	0	0	483	0	-0	-0	0	0	-0	0	0	0	0.025
1.2	NaN	482	NaN	482	0	-0	462	0	0	0	482	0	-0	0	-0	0	0	0	-0	0	0.038
1.3	NaN	490	NaN	481	0	-1	460	0	0	0	483	0	-0	0	-0	0	0	-0	-0	0	0.059
1.4	NaN	483	NaN	482	0	-3	463	0	0	0	482	-0	0	0	0	0	0	0	0	0	0.06
1.5	NaN	484	NaN	482	0	-1	461	0	0	0	483	0	-0	0	-0	0	-0	-0	-0	0	0.072
1.6	NaN	488	NaN	481	0	-2	467	0	0	0	483	0	-0	0	0	0	0	0	-0	0	0.06
