# F34 BrakeDataPreprocessor optimizer-compatible export
# Source session: endurance417
# Segment type: raw_format_only | source time 0.000 to 5280.900 s
# Source files: Endurance 4-17.txt
# Format: no_drs_21_column | estimated: none | missing-as-NaN: none | startup-cleaning: no stable start (skipped_raw_format_only)
Time_s	FL_RotorTemp_RAW	FR_RotorTemp_RAW	RL_RotorTemp_RAW	RR_RotorTemp_RAW	Steering_pct	FrontBrakePressure_RAW	AccelPedalA_pct	AccelPedalB_pct	Reserved	RearBrakePressure_RAW	FL_FeedbackTorque_pctMn	FL_FeedbackVelocity_rpm	FR_FeedbackTorque_pctMn	FR_FeedbackVelocity_rpm	RL_FeedbackTorque_pctMn	RL_FeedbackVelocity_rpm	RR_FeedbackTorque_pctMn	RR_FeedbackVelocity_rpm	Velocity_mps	AccelX_mps2
0	4024	494	2	492	-8	361	0	0	0	405	-0	-0	0	-0	0	-0	-0	-0	0	0.081
0.1	4024	494	2	492	-8	361	0	0	0	405	0	-0	0	0	0	-0	0	0	0	0.079
0.2	3975	495	2	498	-9	356	0	0	0	403	0	-0	0	-0	0	-0	0	-0	0	0.091
0.3	4031	491	2	493	-7	363	0	0	0	405	0	-0	0	0	0	0	0	0	0	0.085
0.4	4024	492	3	497	-8	362	0	0	0	403	0	-0	0	0	-0	-0	0	-0	0	0.08
0.5	4056	491	2	492	-7	363	0	0	0	403	0	-0	0	0	-0	-0	0	0	0	0.082
0.6	4051	491	2	495	-7	363	0	0	0	404	0	0	0	-0	0	-0	-0	-0	0	0.089
0.7	3991	498	2	493	-10	358	0	0	0	405	-0	-0	0	-0	0	-0	0	0	0	0.084
0.8	4057	490	2	494	-6	364	0	0	0	403	-0	-0	0	0	0	-0	0	0	0	0.086
0.9	4023	496	2	491	-9	362	0	0	0	405	0	-0	0	-0	-0	0	-0	-0	0	0.069
1	4005	494	2	491	-8	358	0	0	0	403	0	-0	-0	0	-0	0	0	-0	0	0.092
1.1	4033	491	2	497	-7	361	0	0	0	403	0	-0	0	0	-0	-0	0	-0	0	0.095
1.2	4001	498	2	490	-10	360	0	0	0	405	0	0	-0	-0	-0	0	-0	-0	0	0.052
1.3	3990	493	2	490	-10	358	0	0	0	404	0	-0	-0	0	0	0	-0	-0	0	0.069
1.4	4021	493	2	489	-10	358	0	0	0	405	0	0	0	0	-0	0	-0	-0	0	0.084
1.5	4039	491	2	487	-6	362	0	0	0	403	0	0	0	-0	-0	-0	0	0	0	0.084
1.6	4039	490	2	488	-6	362	0	0	0	403	-0	-0	0	0	0	0	-0	0	0	0.085
1.7	3975	496	2	487	-9	357	0	0	0	403	0	-0	0	0	-0	0	0	-0	0	0.089
1.8	3972	497	2	492	-7	363	0	0	0	406	0	0	-0	-0	-0	-0	0	0	0	0.094
1.9	4030	491	2	491	-8	361	0	0	0	404	0	-0	-0	-0	0	0	0	-0	0	0.103
2	4000	497	2	488	-10	360	0	0	0	405	0	-0	0	0	0	-0	0	0	0	0.083
2.1	3994	494	2	492	-8	358	0	0	0	404	0	-0	0	0	-0	-0	-0	-0	0	0.07
2.2	4068	490	2	489	-7	364	0	0	0	404	0	-0	-0	0	0	0	0	0	0	0.087
2.3	4038	491	2	494	-6	363	0	0	0	403	0	-0	0	0	0	-0	0	0	0	0.072
2.4	4055	490	2	491	-6	361	0	0	0	404	-0	0	-0	0	0	0	-0	-0	0	0.094
2.5	3991	498	2	493	-7	360	0	0	0	404	0	-0	-0	-0	0	-0	0	0	0	0.056
2.6	3977	496	2	490	-9	357	0	0	0	405	0	0	0	0	0	0	0	0	0	0.107
2.7	4009	500	2	487	-9	359	0	0	0	404	0	-0	0	-0	-0	0	0	-0	0	0.054
2.8	4003	499	2	487	-8	359	0	0	0	403	0	0	-0	-0	-0	-0	-0	0	0	0.089
2.9	4002	494	2	489	-9	364	0	0	0	405	0	0	0	0	-0	0	-0	0	0	0.065
3	4059	491	2	486	-6	360	0	0	0	403	0	0	0	-0	-0	-0	0	-0	0	0.072
3.1	4063	491	2	488	-9	355	0	0	0	404	0	0	0	-0	-0	0	-0	-0	0	0.091
3.2	4044	488	2	487	-10	360	0	0	0	404	0	0	0	-0	-0	0	0	-0	0	0.081
3.3	4058	491	2	490	-9	365	0	0	0	404	0	0	0	-0	-0	0	0	-0	0	0.078
3.4	3984	495	2	492	-7	358	0	0	0	403	0	-0	0	-0	0	-0	0	-0	0	0.081
3.5	4062	490	3	489	-10	360	0	0	0	403	-0	-0	0	0	0	0	-0	0	0	0.076
