# F34 BrakeDataPreprocessor optimizer-compatible export
# Source session: brakestesting611
# Segment type: braking_event | source time 2570.500 to 2659.000 s
# Source files: BrakesTesting 6-11.txt
# Format: drs_22_column | estimated: none | missing-as-NaN: tempFLRaw, tempRLRaw | startup-cleaning: trimmed 5.30 s, start 20.8 C, spikes 453
Time_s	FL_RotorTemp_RAW	FR_RotorTemp_RAW	RL_RotorTemp_RAW	RR_RotorTemp_RAW	DRS_State	Steering_pct	FrontBrakePressure_RAW	AccelPedalA_pct	AccelPedalB_pct	Reserved	RearBrakePressure_RAW	FL_FeedbackTorque_pctMn	FL_FeedbackVelocity_rpm	FR_FeedbackTorque_pctMn	FR_FeedbackVelocity_rpm	RL_FeedbackTorque_pctMn	RL_FeedbackVelocity_rpm	RR_FeedbackTorque_pctMn	RR_FeedbackVelocity_rpm	Velocity_mps	AccelX_mps2
0	NaN	1278	NaN	722	0	22	357	45	45	0	408	26	6952	48	7674	68	7344	124	13355	0	3.356
0.1	NaN	1276	NaN	730	0	19	360	39	32	0	408	24	6929	44	11453	64	7213	114	14723	0	4.943
0.2	NaN	1266	NaN	699	0	-15	361	45	41	0	410	54	7486	41	13190	137	8133	117	17267	0	8.559
0.3	NaN	1270	NaN	702	0	-13	357	70	72	0	408	73	7618	50	13025	190	8721	96	18844	0	6.768
0.4	NaN	1261	NaN	679	0	-7	357	80	76	0	407	79	8016	67	17561	204	8263	135	16699	0	8.876
0.5	NaN	1265	NaN	693	0	-31	361	87	86	0	408	90	9070	40	21557	202	9626	105	20199	0	8.179
0.6	NaN	1261	NaN	656	0	-5	360	100	99	0	408	78	8978	55	20236	193	9109	136	15955	3.464	11.866
0.7	NaN	1265	NaN	681	0	-9	359	100	100	0	407	81	9576	59	21889	201	9761	154	15088	4.758	12.87
0.8	NaN	1263	NaN	697	0	-10	360	100	100	0	409	96	11656	74	23023	201	10193	165	10988	13.26	11.168
0.9	NaN	1250	NaN	691	0	-12	361	100	100	0	409	98	11420	59	19162	205	10937	155	10711	13.785	13.37
1	NaN	1244	NaN	691	0	-11	362	100	100	0	409	96	11671	81	16744	197	11571	147	11392	16.861	10.835
1.1	NaN	1248	NaN	711	0	-13	362	100	100	0	409	96	12198	71	18136	180	12166	139	11816	17.539	11.451
1.2	NaN	1267	NaN	693	0	-16	358	100	100	0	409	90	12760	64	17250	180	12754	143	12432	15.231	10.634
1.3	NaN	1235	NaN	689	0	-1	359	100	100	0	408	82	13233	74	13873	169	13401	148	13202	15.94	7.986
1.4	NaN	1226	NaN	686	0	-2	359	100	100	0	409	85	13576	84	13816	140	13720	144	13649	21.839	13.926
1.5	NaN	1247	NaN	691	0	-1	393	100	100	0	414	82	14421	84	14164	134	14178	141	14221	22.826	6.382
1.6	NaN	1245	NaN	688	0	2	376	100	100	0	409	80	14599	82	14695	127	14609	134	14714	23.733	8.403
1.7	NaN	1238	NaN	686	0	2	455	100	100	0	468	79	14955	81	15038	124	15038	122	15127	24.426	6.919
1.8	NaN	1241	NaN	686	0	-2	441	100	100	0	463	79	15371	77	15330	120	15478	114	15460	24.753	9.237
1.9	NaN	1225	NaN	692	0	0	585	100	100	0	598	76	15564	78	15536	114	15774	119	15709	25.241	5.948
2	NaN	1377	NaN	815	0	-0	1621	0	0	0	1194	-2	14515	-4	14399	-2	14071	-2	13805	24.181	-15.749
2.1	NaN	1455	NaN	848	0	-2	1653	0	0	0	1151	0	13469	1	13560	1	12434	1	13167	22.3	-18.291
2.2	NaN	1511	NaN	853	0	1	1657	0	0	0	1172	0	12396	0	10718	-1	12361	-0	12361	20.675	-16.622
2.3	NaN	1546	NaN	876	0	-2	1632	0	0	0	1120	-1	11597	-1	10738	0	10582	-1	11489	18.951	-17.992
2.4	NaN	1591	NaN	925	0	-7	1490	0	0	0	1056	-0	10482	1	9187	-1	10707	0	9051	17.725	-13.099
2.5	NaN	1596	NaN	905	0	1	1354	0	0	0	959	0	9962	0	3483	-1	9402	-0	8213	16.306	-13.465
2.6	NaN	1594	NaN	881	0	-5	1421	0	0	0	1005	-0	9143	0	-3	-0	9237	0	8717	14.932	-9.687
2.7	NaN	1594	NaN	891	0	-11	1081	0	0	0	812	-0	8379	0	0	-0	8577	0	8157	13.703	-11.354
2.8	NaN	1594	NaN	899	0	-19	668	0	0	0	577	-0	8078	0	171	-0	8307	-0	7795	12.985	-3.859
2.9	NaN	1588	NaN	925	0	-44	880	0	0	0	725	-0	7495	-0	4053	-0	7862	0	6671	12.165	-9.715
3	NaN	1594	NaN	973	0	-46	425	0	0	0	432	0	7213	-1	5099	-0	7550	0	6649	11.458	-0.813
3.1	NaN	1596	NaN	930	0	-48	543	0	0	0	523	-0	7172	0	6086	-0	7336	-0	6039	11.106	-5.865
3.2	NaN	1593	NaN	934	0	-47	376	0	0	0	404	0	7063	-0	5799	0	7178	0	6006	10.73	-2.502
3.3	NaN	1591	NaN	927	0	-50	362	2	0	0	404	2	6923	0	5815	5	7030	1	5774	10.572	-0.932
3.4	NaN	1568	NaN	903	0	-49	358	31	31	0	405	52	7162	12	5871	125	7314	29	6030	10.596	4.503
3.5	NaN	1497	NaN	942	0	-55	360	29	26	0	406	48	7242	10	6005	114	7486	22	6293	10.979	3.912
3.6	NaN	1568	NaN	868	0	-59	363	10	3	0	407	12	7018	2	5798	27	7162	4	6030	10.918	-0.312
3.7	NaN	1536	NaN	905	0	-59	361	14	12	0	406	24	7023	3	5861	56	7208	8	5970	10.815	-0.877
3.8	NaN	1537	NaN	845	0	-60	360	15	12	0	405	25	6958	3	5692	58	7080	8	5898	10.882	0.86
3.9	NaN	1531	NaN	935	0	-59	361	15	9	0	406	23	6924	4	5690	53	7083	9	5938	10.947	1.601
4	NaN	1534	NaN	871	0	-58	369	7	5	0	406	5	6572	0	5712	15	6700	2	5777	10.664	-3.719
4.1	NaN	1497	NaN	916	0	-57	361	17	15	0	406	28	7023	4	5565	68	7145	10	6063	10.545	1.62
4.2	NaN	1461	NaN	901	0	-61	360	29	29	0	405	49	6919	5	5566	121	7084	14	5921	10.669	0.88
4.3	NaN	1485	NaN	923	0	-59	360	33	32	0	406	57	7357	9	5745	136	7493	21	5951	10.933	4.315
