# F34 BrakeDataPreprocessor optimizer-compatible export
# Source session: brakestesting611
# Segment type: braking_event | source time 3845.900 to 3917.800 s
# Source files: BrakesTesting 6-11.txt
# Format: drs_22_column | estimated: none | missing-as-NaN: tempFLRaw, tempRLRaw | startup-cleaning: trimmed 5.30 s, start 20.8 C, spikes 453
Time_s	FL_RotorTemp_RAW	FR_RotorTemp_RAW	RL_RotorTemp_RAW	RR_RotorTemp_RAW	DRS_State	Steering_pct	FrontBrakePressure_RAW	AccelPedalA_pct	AccelPedalB_pct	Reserved	RearBrakePressure_RAW	FL_FeedbackTorque_pctMn	FL_FeedbackVelocity_rpm	FR_FeedbackTorque_pctMn	FR_FeedbackVelocity_rpm	RL_FeedbackTorque_pctMn	RL_FeedbackVelocity_rpm	RR_FeedbackTorque_pctMn	RR_FeedbackVelocity_rpm	Velocity_mps	AccelX_mps2
0	NaN	825	NaN	645	0	16	360	36	34	0	406	29	5606	43	5878	69	5626	105	5948	9.269	5.455
0.1	NaN	822	NaN	648	0	9	361	39	38	0	405	36	5988	43	6152	84	6065	105	6179	9.782	5.937
0.2	NaN	856	NaN	636	0	5	360	41	40	0	410	40	6451	45	6505	93	6543	107	6588	10.38	5.875
0.3	NaN	829	NaN	645	0	4	363	45	45	0	408	46	6882	49	6871	106	6999	112	6975	11.01	7.063
0.4	NaN	839	NaN	633	0	1	361	48	48	0	407	50	7334	51	7285	113	7423	118	7396	11.701	7.381
0.5	NaN	828	NaN	628	0	-1	359	53	53	0	407	55	7798	58	7723	128	7897	128	7822	12.42	7.83
0.6	NaN	828	NaN	604	0	-1	359	55	55	0	408	61	8339	60	8373	135	8421	127	8284	13.189	8.481
0.7	NaN	818	NaN	610	0	2	360	57	57	0	409	61	8800	63	8673	131	8974	137	8837	13.97	8.558
0.8	NaN	821	NaN	622	0	2	361	59	58	0	408	62	9351	67	9175	132	9435	140	9283	14.788	8.493
0.9	NaN	777	NaN	663	0	1	360	68	69	0	409	75	9925	78	9803	158	9907	161	9853	15.624	8.643
1	NaN	770	NaN	587	0	3	359	81	82	0	409	90	10865	95	10468	182	10541	200	10499	16.648	13.916
1.1	NaN	769	NaN	591	0	2	361	96	98	0	409	99	12346	100	11749	191	11376	198	11156	17.737	11.104
1.2	NaN	765	NaN	651	0	0	360	100	100	0	410	98	11930	99	13600	181	11829	194	11795	18.788	10.25
1.3	NaN	770	NaN	603	0	-2	359	100	100	0	410	88	12627	83	14544	166	12698	158	12370	19.787	10.662
1.4	NaN	771	NaN	607	0	5	360	100	100	0	409	75	12857	83	13044	134	12955	147	12963	20.738	8.296
1.5	NaN	797	NaN	607	0	3	361	100	100	0	407	64	13254	64	13140	108	13281	116	13301	21.565	8.099
1.6	NaN	828	NaN	615	0	-1	360	100	100	0	408	56	13597	55	13533	94	13766	90	13594	22.573	8.926
1.7	NaN	824	NaN	616	0	-0	359	100	100	0	407	50	13892	50	13742	83	14027	79	13879	23.123	3.393
1.8	NaN	824	NaN	622	0	-1	359	100	100	0	405	43	14002	45	13914	67	14143	72	14061	23.478	2.726
1.9	NaN	834	NaN	636	0	0	359	100	100	0	407	33	14152	32	14021	52	14275	52	14205	23.677	-0.374
2	NaN	846	NaN	673	0	0	831	60	56	0	747	38	14190	39	13937	59	14168	58	14092	23.778	-0.819
2.1	NaN	982	NaN	643	0	3	1450	0	0	0	1041	-1	13172	-1	12950	-2	13076	-2	13060	22.713	-15.238
2.2	NaN	997	NaN	650	0	4	1533	0	0	0	1107	-2	11941	-1	11680	0	12528	-0	12276	21.25	-10.114
2.3	NaN	1035	NaN	668	0	2	1473	0	0	0	1070	1	11614	-1	11246	1	11645	-0	11274	19.832	-16.616
2.4	NaN	1042	NaN	675	0	2	1351	0	0	0	974	-0	10784	-1	10646	-1	10614	0	10242	18.526	-12.989
2.5	NaN	1062	NaN	701	0	1	1411	0	0	0	1029	-0	9980	0	9455	0	10059	0	9692	17.184	-13.995
2.6	NaN	1090	NaN	718	0	0	1432	0	0	0	1011	-1	9170	0	8718	2	9114	-0	7642	15.781	-15.658
2.7	NaN	1099	NaN	718	0	5	1303	0	0	0	925	-0	8427	-0	7656	-0	8349	-0	8029	14.511	-11.909
2.8	NaN	1121	NaN	735	0	5	1311	0	0	0	947	-0	7589	0	7219	-0	7464	-1	7262	13.213	-13.848
2.9	NaN	1121	NaN	753	0	7	1360	0	0	0	959	0	6744	0	6523	0	6760	0	6563	11.912	-12.593
3	NaN	1131	NaN	720	0	7	1348	0	0	0	982	0	5973	0	5436	-0	3399	-0	5828	10.593	-13.918
3.1	NaN	1124	NaN	721	0	6	1407	0	0	0	1033	-0	5065	-0	4772	0	15	0	4307	9.223	-13.802
3.2	NaN	1106	NaN	735	0	6	1411	0	0	0	1031	0	4055	0	2723	0	-13	-0	3981	7.799	-13.623
3.3	NaN	1509	NaN	719	0	5	1396	0	0	0	1015	-0	3485	0	0	0	2	-0	2807	6.461	-13.077
3.4	NaN	1573	NaN	646	0	4	1383	0	0	0	998	-0	1576	0	1	0	-2	0	2500	5.125	-13.191
3.5	NaN	1555	NaN	1467	0	-5	1366	0	0	0	1000	0	-5	0	2	0	-11	-0	13	3.833	-12.159
3.6	NaN	1534	NaN	1473	0	-6	1365	0	0	0	999	0	0	0	-2	0	5	0	2	2.462	-12.154
3.7	NaN	1530	NaN	1469	0	-5	1278	0	0	0	921	0	-0	0	0	0	-3	-0	4	1.331	-12.712
3.8	NaN	1571	NaN	1502	0	-3	1034	0	0	0	787	0	-8	0	-10	0	-17	-0	-18	0.191	-6.499
3.9	NaN	1572	NaN	1423	0	-1	788	0	0	0	640	0	1	0	-0	0	-12	0	0	0.267	3.39
4	NaN	1564	NaN	1430	0	-2	844	0	0	0	661	0	-1	-0	0	0	-2	-0	1	0.267	3.39
4.1	NaN	1554	NaN	1417	0	-2	610	0	0	0	553	0	0	0	2	-0	0	0	1	0.267	3.39
4.2	NaN	1569	NaN	1414	0	-3	370	0	0	0	412	0	0	0	0	0	0	0	3	0.182	0.156
4.3	NaN	1438	NaN	1092	0	-2	360	4	2	0	405	1	4	2	9	3	12	2	5	0.182	0.156
4.4	NaN	1142	NaN	796	0	-2	357	43	43	0	408	44	243	41	238	114	266	101	223	0.543	7.94
4.5	NaN	1123	NaN	773	0	-3	363	62	62	0	407	63	752	58	757	163	756	147	737	1.323	8.958
4.6	NaN	1084	NaN	736	0	-6	359	61	58	0	408	62	1340	53	1286	159	1344	135	1280	2.253	9.268
4.7	NaN	1106	NaN	736	0	-8	361	61	58	0	409	65	1930	51	1832	155	1944	127	1814	3.102	8.777
