# F34 BrakeDataPreprocessor optimizer-compatible export
# Source session: endurance529
# Segment type: endurance_stint | source time 1903.500 to 3676.800 s
# Source files: Endurance 5-29.txt
# Format: drs_22_column | estimated: none | missing-as-NaN: tempFLRaw, tempRLRaw | startup-cleaning: trimmed 0.00 s, start 20.5 C, spikes 1412
Time_s	FL_RotorTemp_RAW	FR_RotorTemp_RAW	RL_RotorTemp_RAW	RR_RotorTemp_RAW	DRS_State	Steering_pct	FrontBrakePressure_RAW	AccelPedalA_pct	AccelPedalB_pct	Reserved	RearBrakePressure_RAW	FL_FeedbackTorque_pctMn	FL_FeedbackVelocity_rpm	FR_FeedbackTorque_pctMn	FR_FeedbackVelocity_rpm	RL_FeedbackTorque_pctMn	RL_FeedbackVelocity_rpm	RR_FeedbackTorque_pctMn	RR_FeedbackVelocity_rpm	Velocity_mps	AccelX_mps2
0	NaN	515	NaN	524	0	1	361	0	0	0	408	-0	0	-0	-0	-0	-0	-0	-0	-0	0.239
0.1	NaN	514	NaN	523	0	1	361	0	0	0	408	-0	0	-0	-0	-0	-0	-0	-0	-0	0.239
0.2	NaN	514	NaN	521	0	1	361	0	0	0	408	-0	0	-0	-0	-0	-0	-0	-0	-0	0.24
0.3	NaN	514	NaN	520	0	1	361	0	0	0	408	-0	0	-0	-0	-0	-0	-0	-0	-0	0.241
0.4	NaN	514	NaN	519	0	2	361	0	0	0	408	-0	0	-0	-0	-0	-0	-0	-0	-0	0.241
0.5	NaN	514	NaN	518	0	2	361	0	0	0	408	-0	0	-0	-0	-0	-0	-0	-0	-0	0.242
0.6	NaN	514	NaN	516	0	2	361	0	0	0	408	-0	0	-0	-0	-0	-0	-0	-0	-0	0.243
0.7	NaN	513	NaN	515	0	2	361	0	0	0	408	-0	0	-0	-0	-0	-1	-0	-0	-0	0.243
0.8	NaN	513	NaN	514	0	2	361	0	0	0	408	-0	0	-0	-0	-0	-1	-0	-0	-0	0.244
0.9	NaN	513	NaN	513	0	2	361	0	0	0	408	-0	0	-0	-0	-0	-1	-0	-0	-0	0.244
1	NaN	513	NaN	511	0	2	361	0	0	0	408	-0	0	-0	-0	-0	-1	-0	-0	-0	0.245
1.1	NaN	513	NaN	510	0	2	361	0	0	0	408	-0	0	-0	-0	-0	-1	-0	-0	-0	0.246
1.2	NaN	513	NaN	509	0	2	361	0	0	0	408	-0	0	-0	-0	-0	-1	-0	-0	-0	0.246
1.3	NaN	512	NaN	508	0	2	361	0	0	0	408	-0	0	-0	-0	-0	-1	-0	-0	-0	0.247
1.4	NaN	512	NaN	506	0	2	361	0	0	0	408	-0	0	-0	-0	-0	-1	-0	-0	-0	0.248
1.5	NaN	512	NaN	505	0	2	361	0	0	0	408	0	0	-0	-0	0	-1	-0	-0	0	0.248
1.6	NaN	512	NaN	505	0	2	361	0	0	0	408	0	0	-0	-0	0	-1	-0	-0	0	0.248
1.7	NaN	512	NaN	505	0	2	361	0	0	0	408	0	0	-0	-0	0	-1	-0	-0	0	0.248
1.8	NaN	512	NaN	505	0	2	361	0	0	0	408	0	0	-0	-0	0	-1	-0	-0	0	0.248
1.9	NaN	512	NaN	505	0	2	361	0	0	0	408	0	0	-0	-0	0	-1	-0	-0	0	0.248
2	NaN	512	NaN	505	0	2	361	0	0	0	408	0	0	-0	-0	0	-1	-0	-0	0	0.248
2.1	NaN	512	NaN	505	0	2	361	0	0	0	408	0	0	-0	-0	0	-1	-0	-0	0	0.248
2.2	NaN	512	NaN	505	0	2	361	0	0	0	408	0	-1	-0	-1	0	-1	0	-1	0	0.248
2.3	NaN	514	NaN	505	0	1	359	0	0	0	407	0	0	0	1	-0	0	0	1	0	0.192
2.4	NaN	509	NaN	506	0	1	365	0	0	0	408	-0	0	0	-0	0	-0	0	-0	0	0.101
2.5	NaN	505	NaN	506	0	0	361	0	0	0	409	-0	0	-0	0	-0	0	0	0	0	0.214
2.6	NaN	510	NaN	506	0	3	363	0	0	0	408	-0	0	-0	-0	-0	0	0	0	0	0.143
2.7	NaN	507	NaN	506	0	1	362	0	0	0	408	-0	0	0	-0	0	0	0	-0	0	0.205
2.8	NaN	509	NaN	506	0	1	362	0	0	0	409	0	0	0	0	-0	0	-0	0	0	0.125
2.9	NaN	509	NaN	506	0	-1	359	0	0	0	408	-0	-0	0	-0	-0	0	0	-0	0	0.204
3	NaN	512	NaN	505	0	0	367	0	0	0	414	-0	0	-0	-0	0	-0	0	0	0	0.232
3.1	NaN	507	NaN	505	0	3	368	0	0	0	419	0	0	-0	-0	-0	-0	0	0	0	0.112
3.2	NaN	507	NaN	505	0	3	391	0	0	0	439	-0	-0	0	0	-0	0	0	-0	0	0.117
3.3	NaN	512	NaN	504	0	4	432	0	0	0	468	-0	0	-0	-0	0	0	0	0	0	0.229
3.4	NaN	508	NaN	505	0	3	461	0	0	0	494	-0	-0	-0	-0	0	-0	-0	-0	0	0.26
3.5	NaN	515	NaN	505	0	0	469	0	0	0	502	0	0	-0	0	-0	0	0	0	0	0.254
3.6	NaN	509	NaN	505	0	1	474	0	0	0	510	0	-0	0	-0	0	-0	0	-0	0	0.098
3.7	NaN	514	NaN	505	0	0	494	0	0	0	523	-0	0	-0	0	0	0	0	-0	0	0.075
3.8	NaN	514	NaN	506	0	1	505	0	0	0	529	0	0	-0	0	-0	0	0	0	0	0.119
3.9	NaN	509	NaN	506	0	3	503	0	0	0	529	-0	-0	0	-0	-0	-0	0	-0	0	0.228
4	NaN	511	NaN	505	0	2	503	0	0	0	528	-0	0	-0	0	0	0	0	0	0	0.282
4.1	NaN	512	NaN	505	0	-1	503	0	0	0	529	-0	-0	-0	-0	-0	-0	0	-0	0	0.234
4.2	NaN	508	NaN	507	0	2	506	0	0	0	531	0	0	-0	-0	0	0	-0	0	0	0.118
4.3	NaN	514	NaN	506	0	2	507	0	0	0	533	-0	-0	0	-0	-0	-0	0	-0	0	0.056
4.4	NaN	516	NaN	505	0	1	507	0	0	0	530	-0	-0	0	0	-0	-0	0	-0	0	0.047
4.5	NaN	511	NaN	506	0	0	506	0	0	0	531	-0	-0	-0	-0	-0	0	0	0	0	0.136
4.6	NaN	508	NaN	504	0	-1	512	0	0	0	530	-0	0	0	0	-0	0	0	0	0	0.302
4.7	NaN	512	NaN	506	0	0	508	0	0	0	531	-0	-0	0	-0	0	-0	0	-0	0	0.274
4.8	NaN	516	NaN	506	0	-1	506	0	0	0	534	-0	0	-0	-0	-0	-0	0	-0	0	0.149
4.9	NaN	1418	NaN	1596	0	2	512	0	0	0	532	-0	0	0	0	-0	0	-0	-0	0	0.107
5	NaN	1418	NaN	1567	0	0	502	0	0	0	534	0	-0	0	0	-0	0	0	0	0	0.043
5.1	NaN	1506	NaN	1595	0	2	510	0	0	0	529	0	-0	0	0	0	-0	-0	-0	0	0.362
5.2	NaN	1453	NaN	1594	0	2	509	0	0	0	526	-0	-0	-0	0	0	0	-0	0	0	0.056
5.3	NaN	1453	NaN	1578	0	2	503	0	0	0	522	0	-0	0	0	-0	-0	0	0	0	0.054
5.4	NaN	1418	NaN	1556	0	4	507	0	0	0	521	-0	-0	-0	0	0	0	-0	0	0	0.097
5.5	NaN	1262	NaN	1472	0	1	503	0	0	0	520	0	0	0	-0	0	0	0	-0	0	-0.025
5.6	NaN	1487	NaN	1459	0	0	479	0	0	0	497	0	1	0	-0	0	1	0	0	0	0.186
5.7	NaN	1391	NaN	1533	0	2	451	0	0	0	469	0	-1	0	-1	-0	-0	0	-0	0	0.319
5.8	NaN	1494	NaN	1525	0	-0	419	0	0	0	444	0	0	-0	0	0	-0	0	-0	0	0.213
5.9	NaN	1518	NaN	1476	0	0	377	0	0	0	418	0	0	0	0	-0	0	-0	0	0	0.318
6	NaN	1436	NaN	1454	0	1	377	0	0	0	413	0	-0	-0	0	-0	-0	0	0	0	0.288
6.1	NaN	1453	NaN	1430	0	1	356	0	0	0	401	0	0	0	-0	-0	-0	-0	-0	0	0.056
6.2	NaN	1437	NaN	1560	0	2	355	0	0	0	405	0	0	0	0	-0	-0	-0	-0	0	0.046
6.3	NaN	1508	NaN	1598	0	-2	354	0	0	0	406	-0	-0	0	-0	0	0	-0	-0	0	0.27
6.4	NaN	1442	NaN	1557	0	0	357	0	0	0	406	-0	0	0	0	-0	0	0	0	0	0.15
6.5	NaN	1420	NaN	1502	0	2	361	0	0	0	405	0	-0	-0	0	0	-0	0	-0	0	0.259
6.6	NaN	1497	NaN	1513	0	-1	355	0	0	0	406	-0	0	0	0	0	-0	-0	0	0	0.256
6.7	NaN	1489	NaN	1496	0	0	358	0	0	0	407	-0	0	0	0	0	0	0	-0	0	0.268
6.8	NaN	1384	NaN	1507	0	1	358	0	0	0	407	-0	-0	0	0	0	0	-0	-0	0	0.112
6.9	NaN	1404	NaN	1498	0	-1	359	0	0	0	406	0	0	0	0	-0	-0	0	-0	0	0.02
7	NaN	1447	NaN	1502	0	2	353	0	0	0	406	-0	-0	0	0	0	0	0	0	0	0.107
7.1	NaN	1316	NaN	1502	0	1	360	0	0	0	405	0	-0	0	-0	-0	-0	0	-0	0	0.044
7.2	NaN	1527	NaN	1512	0	2	355	0	0	0	404	-0	-0	-0	-0	-0	-0	0	0	0	0.21
7.3	NaN	1476	NaN	1548	0	-2	355	0	0	0	407	-0	0	0	0	0	0	0	0	0	0.216
7.4	NaN	1289	NaN	1509	0	0	355	0	0	0	407	-0	0	0	-0	0	-0	0	0	0	0.117
7.5	NaN	1374	NaN	1510	0	1	356	0	0	0	405	0	0	0	-1	0	-0	0	-0	0	0.239
7.6	NaN	1496	NaN	1506	0	1	355	0	0	0	405	0	0	0	-0	-0	0	0	0	0	0.121
7.7	NaN	1412	NaN	1501	0	-1	359	2	0	0	405	0	-0	0	-0	0	0	-0	0	0	0.127
7.8	NaN	1531	NaN	1523	0	-2	358	12	9	0	407	0	-0	0	-0	0	-0	0	0	0	0.26
7.9	NaN	1252	NaN	1510	0	-0	357	19	15	0	408	0	0	0	0	0	0	0	-0	0	0.243
8	NaN	1311	NaN	1562	0	-1	359	22	18	0	407	0	0	0	0	0	0	0	0	0	0.228
8.1	NaN	1217	NaN	1168	0	-4	358	29	25	0	405	1	14	1	1	3	13	4	5	0	0.108
8.2	NaN	1068	NaN	834	0	-1	360	35	31	0	407	9	66	9	61	24	64	24	71	0	1.432
8.3	NaN	873	NaN	989	0	-2	359	36	32	0	407	12	161	11	155	32	175	29	157	0	1.362
8.4	NaN	882	NaN	716	0	-9	360	36	32	0	406	13	270	10	255	34	275	26	262	0	2.025
8.5	NaN	897	NaN	723	0	-18	362	36	32	0	405	13	377	9	351	36	379	24	359	0	1.791
8.6	NaN	861	NaN	1026	0	-27	361	37	34	0	407	18	507	10	457	45	492	25	465	0	2.342
8.7	NaN	839	NaN	941	0	-39	360	38	35	0	407	21	672	8	573	54	659	21	582	0	2.313
8.8	NaN	802	NaN	1005	0	-52	359	38	35	0	407	24	834	6	698	60	832	15	680	0	2.177
8.9	NaN	806	NaN	793	0	-61	358	38	35	0	407	26	1010	4	816	68	984	10	791	0	2.181
9	NaN	733	NaN	762	0	-71	361	39	36	0	407	28	1190	3	950	73	1143	7	894	0	2.188
9.1	NaN	679	NaN	885	0	-75	357	39	35	0	407	30	1367	1	1067	77	1314	3	998	0	2.27
9.2	NaN	585	NaN	704	0	-82	362	39	35	0	407	31	1564	0	1193	81	1483	0	1103	0	2.274
9.3	NaN	554	NaN	537	0	-83	358	39	35	0	406	32	1757	-1	1324	83	1666	-1	1225	0	1.969
9.4	NaN	501	NaN	563	0	-83	358	39	35	0	407	32	1919	-0	1472	81	1842	-1	1351	0	2.075
9.5	NaN	506	NaN	523	0	-88	361	39	36	0	407	32	2093	-1	1611	84	2025	-1	1471	0	1.514
9.6	NaN	512	NaN	593	0	-83	361	39	35	0	407	31	2250	-0	1724	81	2146	-1	1590	0	1.753
9.7	NaN	517	NaN	514	0	-87	362	39	35	0	408	31	2445	-0	1849	80	2333	-1	1699	0	2.262
9.8	NaN	481	NaN	519	0	-84	362	39	35	0	407	32	2620	-1	1963	81	2502	-2	1815	0	1.985
9.9	NaN	477	NaN	494	0	-86	358	38	35	0	407	29	2733	0	2105	77	2626	0	1934	0	1.657
10	NaN	496	NaN	729	0	-76	357	38	33	0	407	27	2871	1	2241	70	2780	4	2101	0	1.929
10.1	NaN	599	NaN	785	0	-55	362	38	33	0	408	24	2891	4	2394	61	2862	10	2314	0	2.13
10.2	NaN	687	NaN	774	0	-45	360	38	33	0	406	21	2960	6	2545	54	2917	16	2507	0	1.83
10.3	NaN	647	NaN	799	0	-41	359	38	33	0	407	20	3065	7	2674	52	3041	18	2623	0	1.86
