SessionKey,SessionType,Status,SegmentNumber,SegmentsCombined,SourceStart_s,SourceEnd_s,Duration_s,OutputFile,MissingChannels,EstimatedChannels,SourceFiles
autox42,autocross_run,skipped_missing_temperature,0,0,NaN,NaN,NaN,,tempFLRaw; tempFRRaw; tempRLRaw; tempRRRaw; torqueFL; rpmFL; torqueFR; rpmFR; torqueRL; rpmRL; torqueRR; rpmRR; speed,,AutoX 4-2.txt
autox43,autocross_run,skipped_missing_temperature,0,0,NaN,NaN,NaN,,tempFLRaw; tempFRRaw; tempRLRaw; tempRRRaw; torqueFL; rpmFL; torqueFR; rpmFR; torqueRL; rpmRL; torqueRR; rpmRR; speed,,AutoX 4-3.txt
autox527,autocross_run,exported_incomplete,1,1,63.8999999999978,242.099999999999,178.200000000001,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_8-1\autox527_autocross_run_001.txt,tempFLRaw; tempRLRaw,,AutoX 5-27.txt
autox527,autocross_run,exported_incomplete,2,1,343.699999999997,1092.3,748.600000000002,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_8-1\autox527_autocross_run_002.txt,tempFLRaw; tempRLRaw,,AutoX 5-27.txt
autox527,autocross_run,exported_incomplete,3,1,1538.9,1816.8,277.900000000001,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_8-1\autox527_autocross_run_003.txt,tempFLRaw; tempRLRaw,,AutoX 5-27.txt
autox527,autocross_run,exported_incomplete,4,1,2503.4,2766.9,263.5,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_8-1\autox527_autocross_run_004.txt,tempFLRaw; tempRLRaw,,AutoX 5-27.txt
autox527,autocross_run,exported_incomplete,5,1,3086.7,3415.4,328.700000000001,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_8-1\autox527_autocross_run_005.txt,tempFLRaw; tempRLRaw,,AutoX 5-27.txt
autox527,autocross_run,exported_incomplete,6,1,3749.8,3880.4,130.599999999999,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_8-1\autox527_autocross_run_006.txt,tempFLRaw; tempRLRaw,,AutoX 5-27.txt
brakebedding327,braking_event,skipped_missing_temperature,0,0,NaN,NaN,NaN,,tempFLRaw; tempFRRaw; tempRLRaw; tempRRRaw; torqueFL; rpmFL; torqueFR; rpmFR; torqueRL; rpmRL; torqueRR; rpmRR; speed,,Brake Bedding 3-27.txt
brakestesting611,braking_event,exported_incomplete,1,1,1403.5,1463.4,59.9000000000001,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_8-1\brakestesting611_braking_event_001.txt,tempFLRaw; tempRLRaw,,BrakesTesting 6-11.txt
brakestesting611,braking_event,exported_incomplete,2,1,1765,1875.3,110.3,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_8-1\brakestesting611_braking_event_002.txt,tempFLRaw; tempRLRaw,,BrakesTesting 6-11.txt
brakestesting611,braking_event,exported_incomplete,3,1,2570.5,2659,88.5,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_8-1\brakestesting611_braking_event_003.txt,tempFLRaw; tempRLRaw,,BrakesTesting 6-11.txt
brakestesting611,braking_event,exported_incomplete,4,1,3042,3340,298,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_8-1\brakestesting611_braking_event_004.txt,tempFLRaw; tempRLRaw,,BrakesTesting 6-11.txt
