# F34 BrakeDataPreprocessor optimizer-compatible export
# Source session: autox527
# Segment type: autocross_run | source time 1538.900 to 1816.800 s
# Source files: AutoX 5-27.txt
# Format: drs_22_column | estimated: none | missing-as-NaN: tempFLRaw, tempRLRaw | startup-cleaning: trimmed 0.00 s, start 21.5 C, spikes 3981
Time_s	FL_RotorTemp_RAW	FR_RotorTemp_RAW	RL_RotorTemp_RAW	RR_RotorTemp_RAW	DRS_State	Steering_pct	FrontBrakePressure_RAW	AccelPedalA_pct	AccelPedalB_pct	Reserved	RearBrakePressure_RAW	FL_FeedbackTorque_pctMn	FL_FeedbackVelocity_rpm	FR_FeedbackTorque_pctMn	FR_FeedbackVelocity_rpm	RL_FeedbackTorque_pctMn	RL_FeedbackVelocity_rpm	RR_FeedbackTorque_pctMn	RR_FeedbackVelocity_rpm	Velocity_mps	AccelX_mps2
0	NaN	679	NaN	573	0	-1	361	0	0	0	408	-0	-0	-0	-0	0	0	0	0	-0.012	0.119
0.1	NaN	680	NaN	573	0	0	359	0	0	0	408	-0	0	0	-0	0	-0	-0	-0	-0.013	0.102
0.2	NaN	681	NaN	573	0	1	361	0	0	0	405	-0	0	-0	-0	0	0	-0	0	-0.01	0.139
0.3	NaN	683	NaN	574	0	0	361	0	0	0	406	-0	0	0	0	0	0	0	-0	-0.01	0.126
0.4	NaN	675	NaN	574	0	3	364	0	0	0	406	0	-0	0	0	0	-0	-0	-0	-0.01	0.09
0.5	NaN	684	NaN	573	0	1	360	0	0	0	408	-0	-0	-0	-0	0	-0	0	-0	-0.011	0.11
0.6	NaN	679	NaN	574	0	0	361	0	0	0	406	-0	0	0	0	0	0	0	0	-0.009	0.092
0.7	NaN	677	NaN	572	0	4	364	0	0	0	408	-0	-0	0	0	-0	-0	0	0	-0.01	0.158
0.8	NaN	678	NaN	572	0	0	362	0	0	0	407	-0	0	0	-0	-0	-0	-0	0	-0.013	0.094
0.9	NaN	684	NaN	573	0	0	359	0	0	0	406	-0	0	-0	0	0	0	0	1	-0.009	0.139
1	NaN	679	NaN	573	0	0	360	0	0	0	406	-0	-0	-0	-1	0	-0	-0	-1	-0.018	0.088
1.1	NaN	681	NaN	574	0	2	361	0	0	0	408	-0	0	0	1	0	0	0	1	-0.012	0.117
1.2	NaN	681	NaN	574	0	1	362	0	0	0	407	0	-0	-0	-1	0	-0	0	-1	-0.017	0.103
1.3	NaN	678	NaN	573	0	2	360	0	0	0	408	-0	-0	-0	0	0	0	-0	0	-0.013	0.153
1.4	NaN	683	NaN	573	0	0	359	0	0	0	405	-0	0	0	0	0	0	0	0	-0.014	0.07
1.5	NaN	678	NaN	572	0	1	362	0	0	0	407	0	-0	0	-0	0	0	-0	-0	-0.014	0.05
1.6	NaN	678	NaN	574	0	2	361	0	0	0	407	-0	0	0	-0	-0	0	0	0	-0.013	0.067
1.7	NaN	677	NaN	572	0	2	361	0	0	0	406	-0	-0	0	0	0	0	-0	0	-0.013	0.105
1.8	NaN	682	NaN	570	0	1	361	0	0	0	405	-0	-0	-0	-1	-0	-0	0	-1	-0.01	0.137
1.9	NaN	677	NaN	571	0	3	362	0	0	0	408	-0	-0	0	0	0	0	-0	0	-0.007	0.07
2	NaN	681	NaN	573	0	2	363	0	0	0	405	-0	0	-0	-0	0	0	-0	-0	-0.009	0.143
