# F34 BrakeDataPreprocessor optimizer-compatible export
# Source session: endurance519
# Segment type: endurance_stint | source time 10630.400 to 11228.400 s
# Source files: Endurance 5-19.txt
# Format: no_drs_21_column | estimated: none | missing-as-NaN: tempFLRaw, tempRLRaw | startup-cleaning: trimmed 0.00 s, start 22.0 C, spikes 8545
Time_s	FL_RotorTemp_RAW	FR_RotorTemp_RAW	RL_RotorTemp_RAW	RR_RotorTemp_RAW	Steering_pct	FrontBrakePressure_RAW	AccelPedalA_pct	AccelPedalB_pct	Reserved	RearBrakePressure_RAW	FL_FeedbackTorque_pctMn	FL_FeedbackVelocity_rpm	FR_FeedbackTorque_pctMn	FR_FeedbackVelocity_rpm	RL_FeedbackTorque_pctMn	RL_FeedbackVelocity_rpm	RR_FeedbackTorque_pctMn	RR_FeedbackVelocity_rpm	Velocity_mps	AccelX_mps2
0	NaN	701	NaN	758	58	356	43	39	0	407	6	574	35	741	17	566	90	716	1.157	3.141
0.1	NaN	653	NaN	698	99	362	44	39	0	408	-3	831	45	1209	-6	743	119	1131	1.475	2.928
0.2	NaN	623	NaN	670	99	361	44	39	0	409	-4	887	46	1290	-10	798	119	1212	1.736	2.405
0.3	NaN	678	NaN	609	99	357	44	36	0	409	-4	1210	42	1619	-10	1035	110	1554	2.042	2.429
0.4	NaN	650	NaN	608	99	359	44	36	0	407	-4	1250	43	1766	-9	1066	110	1634	2.286	2.197
0.5	NaN	670	NaN	703	99	361	44	36	0	405	-4	1503	42	2103	-10	1299	109	1980	2.574	2.224
0.6	NaN	679	NaN	639	99	360	44	36	0	405	-4	1586	42	2211	-9	1365	106	2042	2.819	2.639
0.7	NaN	604	NaN	618	99	356	44	40	0	407	-4	1785	47	2531	-11	1534	121	2343	3.106	2.243
0.8	NaN	610	NaN	595	99	359	44	40	0	407	-4	1861	50	2669	-11	1572	127	2456	3.291	2.612
0.9	NaN	605	NaN	581	99	355	50	45	0	409	-5	2148	61	3003	-14	1841	165	2927	3.596	4.193
1	NaN	572	NaN	608	99	357	52	48	0	407	-6	2193	71	3279	-15	1913	182	3083	3.978	4.912
1.1	NaN	564	NaN	675	90	361	58	54	0	408	-5	2534	85	3810	-10	2279	208	3641	4.532	4.508
1.2	NaN	640	NaN	586	75	359	58	53	0	408	17	2949	58	3927	3	2379	143	4165	5.169	6.711
1.3	NaN	625	NaN	605	-9	357	50	53	0	405	35	3587	31	3440	88	3563	76	3563	5.559	5.827
1.4	NaN	626	NaN	677	-21	358	41	39	0	407	24	3845	14	3557	61	3749	36	3558	5.984	3.45
1.5	NaN	665	NaN	693	-8	355	42	38	0	408	22	3973	18	3729	55	3952	45	3741	6.173	2.082
1.6	NaN	634	NaN	663	-4	358	42	37	0	408	20	4012	18	3886	50	3980	46	3944	6.456	2.689
1.7	NaN	706	NaN	697	-5	361	39	33	0	406	16	4204	14	4039	40	4187	35	4067	6.669	2.616
1.8	NaN	632	NaN	651	-2	359	43	41	0	409	23	4318	22	4182	58	4306	55	4253	6.858	3.394
1.9	NaN	656	NaN	656	-1	358	44	41	0	408	24	4445	23	4318	59	4439	56	4323	7.271	5.428
2	NaN	587	NaN	664	-3	356	62	57	0	409	48	4969	46	4842	119	4957	111	4871	7.85	6.98
2.1	NaN	631	NaN	664	-2	356	57	49	0	408	39	5117	37	5033	94	5128	92	5070	8.322	3.736
2.2	NaN	688	NaN	664	-3	357	37	29	0	406	11	5442	11	5322	22	5343	26	5398	8.714	1.338
2.3	NaN	679	NaN	669	-6	354	36	29	0	406	12	5440	10	5342	27	5406	26	5404	8.736	0.694
2.4	NaN	526	NaN	678	-9	358	31	28	0	405	5	5475	4	5267	14	5385	11	5325	8.723	-0.26
2.5	NaN	530	NaN	693	-15	358	31	28	0	405	7	5479	5	5280	17	5435	13	5296	8.736	0.425
2.6	NaN	591	NaN	695	-32	361	37	35	0	405	20	5778	9	5155	48	5702	22	5148	8.775	0.737
2.7	NaN	638	NaN	678	-38	355	37	35	0	405	20	5853	8	5114	49	5812	21	5112	8.86	0.468
2.8	NaN	544	NaN	694	-50	360	38	32	0	405	23	6112	6	5128	55	5992	15	5094	8.978	0.457
2.9	NaN	516	NaN	710	-52	360	37	32	0	404	20	6175	5	5102	50	6003	12	5089	9.037	0.399
3	NaN	519	NaN	705	-46	355	36	34	0	405	21	6204	6	5157	50	6166	14	5152	9.127	0.304
3.1	NaN	618	NaN	690	-28	355	37	34	0	403	19	6168	8	5270	45	6073	22	5346	9.255	1.788
3.2	NaN	617	NaN	700	-15	358	37	33	0	406	16	6053	12	5641	38	6003	27	5639	9.356	0.729
3.3	NaN	561	NaN	672	-7	360	30	23	0	407	3	5974	2	5662	6	5942	5	5676	9.459	-0.526
3.4	NaN	575	NaN	672	21	361	36	31	0	408	6	5708	10	5832	18	5688	29	5922	9.456	0.684
3.5	NaN	613	NaN	597	30	357	44	40	0	408	15	5678	31	6154	36	5643	74	6225	9.6	2.617
3.6	NaN	608	NaN	595	52	361	48	44	0	408	12	5743	46	6567	27	5646	107	6614	9.891	2.597
3.7	NaN	631	NaN	604	50	362	45	38	0	405	11	5772	37	6836	26	5769	87	6864	10.077	-0.297
3.8	NaN	575	NaN	559	42	359	26	20	0	407	-0	5782	-0	6703	-0	5613	0	6605	10.071	-1.743
3.9	NaN	571	NaN	559	30	360	9	4	0	407	-4	5790	-3	6452	-4	5654	-3	6453	9.914	-2.006
4	NaN	626	NaN	619	30	357	9	4	0	405	-16	5685	-12	6344	-15	5600	-11	6262	9.7	-2.524
4.1	NaN	576	NaN	564	44	363	21	18	0	408	-6	5496	-3	6094	-5	5430	-3	6086	9.419	-2.466
4.2	NaN	574	NaN	565	49	361	25	22	0	409	0	5389	0	6040	0	5270	0	6076	9.287	-1.456
4.3	NaN	577	NaN	663	57	360	33	30	0	407	3	5246	13	6181	7	5130	35	6198	9.196	-0.33
4.4	NaN	603	NaN	665	70	363	33	30	0	406	2	5196	16	6151	5	5071	37	6159	9.215	0.035
4.5	NaN	607	NaN	610	75	361	44	41	0	405	3	5115	43	6403	8	5084	108	6547	9.273	1.251
