# F34 BrakeDataPreprocessor optimizer-compatible export
# Source session: endurosetuptesting515
# Segment type: moving_event | source time 4656.000 to 4893.600 s
# Source files: Enduro Setup Testing 5-15.txt
# Format: no_drs_21_column | estimated: none | missing-as-NaN: tempFLRaw, tempRLRaw | startup-cleaning: trimmed 0.00 s, start 19.8 C, spikes 6571
Time_s	FL_RotorTemp_RAW	FR_RotorTemp_RAW	RL_RotorTemp_RAW	RR_RotorTemp_RAW	Steering_pct	FrontBrakePressure_RAW	AccelPedalA_pct	AccelPedalB_pct	Reserved	RearBrakePressure_RAW	FL_FeedbackTorque_pctMn	FL_FeedbackVelocity_rpm	FR_FeedbackTorque_pctMn	FR_FeedbackVelocity_rpm	RL_FeedbackTorque_pctMn	RL_FeedbackVelocity_rpm	RR_FeedbackTorque_pctMn	RR_FeedbackVelocity_rpm	Velocity_mps	AccelX_mps2
0	NaN	762	NaN	755	-1	360	37	33	0	403	6	653	6	643	15	652	14	654	1.06	0.814
0.1	NaN	729	NaN	767	-3	360	37	33	0	404	6	692	6	682	15	695	14	698	1.124	0.698
0.2	NaN	759	NaN	625	-3	358	37	33	0	404	6	724	6	714	13	723	13	726	1.177	0.691
0.3	NaN	730	NaN	724	-3	358	37	33	0	403	6	760	6	750	15	759	14	760	1.235	0.505
0.4	NaN	770	NaN	637	-3	359	37	35	0	403	7	795	7	787	18	790	16	796	1.297	0.808
0.5	NaN	704	NaN	772	-4	359	37	35	0	403	8	830	7	832	18	826	17	842	1.362	0.951
0.6	NaN	776	NaN	645	-4	357	37	35	0	405	8	874	8	875	18	869	18	884	1.428	0.748
0.7	NaN	706	NaN	692	-2	359	37	35	0	404	7	906	7	902	17	905	17	909	1.483	0.515
0.8	NaN	702	NaN	688	-4	361	38	35	0	404	8	942	7	937	19	935	18	955	1.537	0.961
0.9	NaN	712	NaN	655	-6	359	37	35	0	403	8	979	7	976	19	989	17	978	1.603	0.734
1	NaN	744	NaN	682	-7	359	37	35	0	404	8	1027	7	1017	19	1031	17	1028	1.668	1.061
1.1	NaN	685	NaN	703	-8	359	37	35	0	403	8	1071	7	1059	19	1073	17	1069	1.732	0.746
1.2	NaN	696	NaN	720	-7	359	37	35	0	402	8	1113	7	1100	18	1111	16	1103	1.803	0.882
1.3	NaN	711	NaN	723	-8	357	37	35	0	405	7	1153	7	1145	18	1154	17	1161	1.866	1.082
1.4	NaN	683	NaN	618	-9	358	37	35	0	406	8	1218	7	1188	18	1201	17	1203	1.937	1.108
1.5	NaN	690	NaN	715	-7	360	37	35	0	404	8	1234	7	1218	18	1240	17	1231	1.991	1.059
1.6	NaN	708	NaN	707	-10	356	37	35	0	404	8	1280	7	1246	19	1289	17	1258	2.049	0.589
1.7	NaN	664	NaN	770	-8	360	37	35	0	403	8	1313	7	1280	19	1312	16	1297	2.116	0.835
1.8	NaN	687	NaN	766	-10	359	37	34	0	403	8	1348	7	1314	19	1352	17	1335	2.17	0.949
1.9	NaN	720	NaN	707	-10	362	37	35	0	404	8	1394	7	1345	18	1383	16	1365	2.221	0.885
2	NaN	703	NaN	727	-14	360	37	36	0	404	8	1439	7	1383	20	1433	17	1400	2.281	0.645
2.1	NaN	680	NaN	706	-13	362	38	37	0	403	11	1483	9	1419	26	1490	22	1440	2.359	1.335
2.2	NaN	692	NaN	675	-16	359	38	37	0	405	11	1551	9	1455	26	1552	21	1481	2.461	1.242
2.3	NaN	759	NaN	682	-18	361	38	37	0	404	11	1622	9	1515	27	1633	21	1539	2.555	1.365
2.4	NaN	677	NaN	636	-21	357	38	37	0	403	12	1701	9	1580	27	1671	20	1598	2.645	1.032
2.5	NaN	691	NaN	656	-23	356	38	38	0	403	12	1757	9	1633	28	1756	21	1653	2.752	0.974
2.6	NaN	655	NaN	691	-23	361	38	37	0	405	11	1809	9	1678	28	1821	20	1695	2.829	1.095
2.7	NaN	679	NaN	690	-21	359	38	38	0	405	12	1882	9	1721	27	1880	20	1752	2.929	0.958
2.8	NaN	687	NaN	677	-21	361	38	38	0	406	11	1943	9	1787	27	1935	20	1804	3.017	1.179
2.9	NaN	664	NaN	680	-22	358	38	37	0	405	11	2022	9	1855	26	1988	19	1873	3.11	1.406
3	NaN	702	NaN	681	-25	356	38	38	0	404	12	2043	8	1898	27	2060	20	1925	3.193	0.904
3.1	NaN	680	NaN	645	-23	359	38	37	0	403	12	2099	8	1961	27	2103	20	1967	3.303	1.214
