# F34 BrakeDataPreprocessor optimizer-compatible export
# Source session: autox527
# Segment type: autocross_run | source time 2488.400 to 2766.900 s
# Source files: AutoX 5-27.txt
# Format: drs_22_column | estimated: none | missing-as-NaN: tempFLRaw, tempRLRaw | startup-cleaning: trimmed 0.00 s, start 21.5 C, spikes 706
Time_s	FL_RotorTemp_RAW	FR_RotorTemp_RAW	RL_RotorTemp_RAW	RR_RotorTemp_RAW	DRS_State	Steering_pct	FrontBrakePressure_RAW	AccelPedalA_pct	AccelPedalB_pct	Reserved	RearBrakePressure_RAW	FL_FeedbackTorque_pctMn	FL_FeedbackVelocity_rpm	FR_FeedbackTorque_pctMn	FR_FeedbackVelocity_rpm	RL_FeedbackTorque_pctMn	RL_FeedbackVelocity_rpm	RR_FeedbackTorque_pctMn	RR_FeedbackVelocity_rpm	Velocity_mps	AccelX_mps2
0	NaN	612	NaN	541	0	0	468	0	0	0	490	-0	-0	-0	-0	-0	0	0	-0	-0.003	0.13
0.1	NaN	605	NaN	542	0	1	481	0	0	0	501	0	-0	0	-0	-0	-0	-0	-0	-0.004	0.088
0.2	NaN	605	NaN	541	0	-2	447	0	0	0	470	-0	-0	-0	0	0	0	-0	0	0.001	0.087
0.3	NaN	610	NaN	539	0	-2	394	0	0	0	425	0	-0	0	0	-0	0	0	0	-0.001	0.182
0.4	NaN	604	NaN	541	0	-0	367	0	0	0	408	0	-0	0	-0	-0	-0	-0	0	-0.002	-0.053
0.5	NaN	608	NaN	540	0	-1	360	0	0	0	405	-0	-7	0	-7	-0	-7	0	-7	-0.012	0.083
0.6	NaN	609	NaN	539	0	-2	360	0	0	0	407	-0	1	0	1	-0	1	0	1	0.003	0.263
0.7	NaN	612	NaN	539	0	-2	360	0	0	0	407	-0	0	0	0	-0	0	-0	0	-0	0.075
0.8	NaN	605	NaN	539	0	-1	361	0	0	0	406	-0	-0	0	-0	-0	-0	0	-0	-0.006	0.126
0.9	NaN	604	NaN	539	0	-0	361	0	0	0	407	-0	-0	-0	0	-0	0	0	0	-0.001	-0.044
1	NaN	609	NaN	539	0	-0	360	0	0	0	408	-0	0	0	0	-0	-0	-0	0	-0.007	0.015
1.1	NaN	607	NaN	539	0	-2	362	0	0	0	407	-0	1	0	1	-0	0	0	1	-0.003	0.111
1.2	NaN	604	NaN	539	0	0	365	0	0	0	407	-0	-1	-0	-0	0	-0	-0	-0	-0.007	0.151
1.3	NaN	613	NaN	540	0	-2	359	0	0	0	408	-0	-0	0	0	-0	0	-0	0	-0.006	0.05
1.4	NaN	607	NaN	541	0	0	363	0	0	0	407	-0	-0	0	0	-0	-0	-0	0	-0.001	0.106
1.5	NaN	605	NaN	540	0	1	364	0	0	0	408	-0	-0	-0	0	-0	0	0	0	-0.001	0.065
1.6	NaN	609	NaN	539	0	-1	362	0	0	0	407	-0	-0	0	-0	-0	-0	-0	-0	-0.007	0.115
1.7	NaN	609	NaN	538	0	0	362	0	0	0	408	-0	-0	-0	0	0	-0	0	0	-0.007	0.079
1.8	NaN	609	NaN	538	0	-1	362	0	0	0	409	-0	-0	0	-0	-0	-0	-0	-0	-0.007	0.102
1.9	NaN	610	NaN	538	0	-1	361	0	0	0	408	0	-0	0	0	-0	-0	0	0	-0.006	0.115
2	NaN	610	NaN	539	0	-1	361	0	0	0	407	-0	-0	-0	0	-0	-0	0	-0	-0.009	0.059
2.1	NaN	606	NaN	538	0	-2	364	0	0	0	407	-0	0	0	-0	-0	-0	-0	0	-0.007	0.105
2.2	NaN	607	NaN	538	0	-1	360	0	0	0	408	-0	0	0	0	-0	0	0	-0	-0.009	0.062
2.3	NaN	610	NaN	539	0	-3	361	0	0	0	408	-0	-0	0	0	0	-0	0	0	-0.007	0.064
2.4	NaN	612	NaN	538	0	1	359	0	0	0	408	-0	0	-0	-0	0	0	0	0	-0.007	0.096
2.5	NaN	611	NaN	538	0	-2	359	0	0	0	407	-0	-0	0	-0	-0	-0	0	-0	-0.009	0.138
2.6	NaN	607	NaN	539	0	0	362	0	0	0	407	0	0	0	0	-0	0	-0	-0	-0.008	0.101
2.7	NaN	609	NaN	539	0	-0	359	0	0	0	408	0	-0	-0	-0	-0	0	-0	-0	-0.008	0.171
2.8	NaN	610	NaN	539	0	0	363	0	0	0	407	-0	0	0	0	0	0	0	-0	-0.005	0.118
