# F34 BrakeDataPreprocessor optimizer-compatible export
# Source session: brakestesting611
# Segment type: raw_format_only | source time 0.000 to 6480.900 s
# Source files: BrakesTesting 6-11.txt
# Format: drs_22_column | estimated: none | missing-as-NaN: none | startup-cleaning: no stable start (skipped_raw_format_only)
Time_s	FL_RotorTemp_RAW	FR_RotorTemp_RAW	RL_RotorTemp_RAW	RR_RotorTemp_RAW	DRS_State	Steering_pct	FrontBrakePressure_RAW	AccelPedalA_pct	AccelPedalB_pct	Reserved	RearBrakePressure_RAW	FL_FeedbackTorque_pctMn	FL_FeedbackVelocity_rpm	FR_FeedbackTorque_pctMn	FR_FeedbackVelocity_rpm	RL_FeedbackTorque_pctMn	RL_FeedbackVelocity_rpm	RR_FeedbackTorque_pctMn	RR_FeedbackVelocity_rpm	Velocity_mps	AccelX_mps2
0	3983	748	3852	847	0	2	359	31	25	0	406	3	801	4	802	9	796	10	807	0	0.018
0.1	3983	748	3852	847	0	2	359	31	25	0	406	3	801	4	802	9	796	10	807	0	0.018
0.2	3983	748	3852	847	0	2	359	31	25	0	406	3	801	4	802	9	796	10	807	0	0.018
0.3	3983	748	3852	847	0	2	359	31	25	0	406	3	801	4	802	9	796	10	807	0	0.018
0.4	3983	748	3852	847	0	2	359	31	25	0	406	3	801	4	802	9	796	10	807	0	0.018
0.5	3983	748	3852	847	0	2	359	31	25	0	406	3	801	4	802	9	796	10	807	0	0.018
0.6	3983	748	3852	847	0	2	359	31	25	0	406	3	801	4	802	9	796	10	807	0	0.018
0.7	3983	748	3852	847	0	2	359	31	25	0	406	4	808	4	805	11	807	11	810	0	0.018
0.8	3983	775	3887	1118	0	2	357	31	25	0	406	3	820	4	826	8	809	9	815	0	0.627
0.9	3866	747	3713	860	0	5	363	31	25	0	406	4	837	4	840	10	848	12	843	0	0.696
1	4027	697	3813	1004	0	4	362	31	25	0	406	4	858	5	856	11	861	12	863	0	0.667
1.1	3944	718	3764	845	0	0	359	31	25	0	406	4	884	4	879	10	902	11	886	0	0.242
1.2	3939	678	3778.72	1055	0	1	360	31	25	0	407	4	904	4	894	10	911	10	896	0	0.73
1.3	3758	699	3441	879	0	-0	359	31	25	0	404	4	927	4	912	12	935	11	925	0	-0.324
1.4	3916	743	3305.356	908	0	-2	354	31	25	0	404	4	929	4	923	11	932	11	929	0	0.522
1.5	3893	717	3738	999	0	-1	360	31	26	0	406	4	952	4	933	10	959	10	946	0	0.261
1.6	3827	651	3882	892	0	-7	358	29	22	0	407	1	960	1	937	1	949	1	933	0	-0.511
1.7	3964	626	3840	876	0	-4	362	24	18	0	407	0	943	0	904	-0	932	-0	897	0	-0.235
1.8	3787	598	3840	744	0	-6	361	24	18	0	407	-0	933	-0	891	0	928	0	885	0	-0.356
1.9	3911	649	3690	741	0	-6	362	26	23	0	406	0	917	-0	889	-0	918	0	881	0	-2.074
2	3691	702	3400	845	0	-12	357	27	23	0	406	0	874	-0	838	0	882	0	838	0	-0.515
2.1	3772	663	3749	751	0	-15	358	27	24	0	406	-0	847	0	812	0	853	0	804	0	-0.922
2.2	3893	659	3956	965	0	-14	364	27	24	0	407	0	819	0	771	1	829	1	772	0	-0.703
2.3	3917	777	3764.802	1074	0	-21	355	28	24	0	407	1	809	0	744	4	807	2	747	0	-0.559
2.4	3881	749	3111.436	948	0	-25	361	29	25	0	406	3	813	1	717	9	815	4	726	0	-0.352
2.5	3659	795	3027	947	0	-35	357	29	26	0	405	5	837	2	722	13	834	4	721	0	-0.06
2.6	3772	778	2945	897	0	-44	356	30	27	0	407	6	864	1	730	17	861	4	711	0	0.211
2.7	3887	740	3941	871	0	-49	360	30	27	0	407	8	913	2	750	21	915	4	736	0	0.502
2.8	3849	786	3052.554	938	0	-56	357	30	27	0	407	8	970	1	784	22	968	3	774	0	0.077
2.9	3879	693	3419.832	1142	0	-63	363	30	27	0	407	9	1047	0	824	23	1030	1	799	0	0.576
3	3821	640	3898	926	0	-67	359	30	27	0	407	9	1093	0	854	25	1063	1	829	0	0.538
3.1	3707	619	3689	987	0	-64	363	31	28	0	407	10	1139	0	910	27	1108	1	861	0	0.844
3.2	3829	614	3878	766	0	-64	360	31	28	0	406	10	1152	0	924	27	1124	1	883	0	0.112
3.3	3922	662	3499	908	0	-68	359	31	28	0	407	12	1206	0	945	29	1182	1	902	0	0.084
3.4	3897	552	3608	979	0	-67	357	31	28	0	405	11	1263	0	997	29	1234	1	948	0	-0.031
3.5	3851	586	3958	693	0	-68	359	31	28	0	406	11	1303	0	1022	28	1277	1	950	0	0.448
3.6	3960	563	3478	894	0	-65	355	31	28	0	407	11	1344	0	1043	27	1312	1	989	0	0.36
3.7	3848	575	3713	855	0	-69	357	31	28	0	408	11	1395	0	1106	30	1374	1	1051	0	-0.201
3.8	3711	556	3874	658	0	-70	358	31	28	0	406	11	1426	0	1135	29	1404	0	1076	0	-0.034
3.9	3694	594	3677	839	0	-69	359	31	28	0	407	11	1477	0	1172	28	1450	1	1118	0	0.289
4	3593	565	3831	839	0	-63	355	31	28	0	406	10	1538	0	1198	27	1493	1	1150	0	0.257
4.1	3810	599	3785.713	890	0	-60	361	31	28	0	406	10	1549	1	1245	26	1508	2	1193	0	0.278
4.2	3922	653	3719	973	0	-52	361	31	28	0	407	9	1561	1	1282	24	1538	4	1255	0	0.288
4.3	3889	603	3472.43	910	0	-43	363	31	27	0	404	9	1582	2	1329	22	1560	5	1301	0	0.674
4.4	4005	619	3120	984	0	-34	362	31	27	0	404	8	1600	2	1390	20	1582	7	1364	0	0.595
4.5	3969	676	3346	917	0	-34	355	31	27	0	406	7	1626	3	1410	20	1603	7	1420	0	0.634
4.6	3948	698	3491	900	0	-30	357	31	27	0	409	7	1638	3	1446	19	1648	7	1451	0	0.286
4.7	4002	663	2892	821	0	-32	361	31	26	0	407	6	1662	2	1488	18	1659	7	1479	0	0.033
4.8	3950	617	2869.663	863	0	-31	363	31	26	0	406	6	1695	2	1511	17	1691	7	1492	0	-0.108
4.9	3975	644	3235	846	0	-30	363	31	26	0	407	6	1724	2	1538	15	1712	6	1520	0	0.279
5	4019	622	2978	956	0	-29	360	31	26	0	407	6	1744	2	1562	15	1745	6	1558	0	-0.008
5.1	3974	614	3887.297	1019	0	-30	358	31	25	0	407	5	1766	2	1573	13	1784	5	1559	0	-0.56
5.2	3800	582	3823	839	0	-31	359	31	24	0	404	4	1785	2	1572	12	1778	5	1583	0	-0.115
5.3	4039	491	4011	488	0	-28	362	31	24	0	405	-0	1783	-0	1575	0	1768	-0	1563	0	-1.021
5.4	4029	491	4014	485	0	-28	361	31	25	0	404	-10	1707	-3	1545	-5	1714	-1	1543	0	-1.588
5.5	4065	489	4011	488	0	-29	363	31	28	0	405	-28	1576	-15	1401	-13	1543	-13	1408	0	-3.3
5.6	4053	489	4017.941	489	0	-26	363	35	32	0	406	-28	1377	-19	1212	-18	1327	-18	1235	0	-3.402
5.7	4044	490	4020	487	0	-25	363	36	32	0	406	-25	1163	-24	1011	-22	1117	-20	1051	0	-3.795
