# F34 BrakeDataPreprocessor optimizer-compatible export
# Source session: endurosetuptesting515
# Segment type: raw_format_only | source time 0.000 to 5523.900 s
# Source files: Enduro Setup Testing 5-15.txt
# Format: no_drs_21_column | estimated: none | missing-as-NaN: none | startup-cleaning: no stable start (skipped_raw_format_only)
Time_s	FL_RotorTemp_RAW	FR_RotorTemp_RAW	RL_RotorTemp_RAW	RR_RotorTemp_RAW	Steering_pct	FrontBrakePressure_RAW	AccelPedalA_pct	AccelPedalB_pct	Reserved	RearBrakePressure_RAW	FL_FeedbackTorque_pctMn	FL_FeedbackVelocity_rpm	FR_FeedbackTorque_pctMn	FR_FeedbackVelocity_rpm	RL_FeedbackTorque_pctMn	RL_FeedbackVelocity_rpm	RR_FeedbackTorque_pctMn	RR_FeedbackVelocity_rpm	Velocity_mps	AccelX_mps2
0	1558	489	2097	485	90	365	0	0	0	407	-0	0	0	0	0	0	0	-0	0	-0.04
0.1	1558	489	2097	485	90	365	0	0	0	407	-0	0	0	0	0	0	0	-0	0	-0.04
0.2	1558	489	2097	485	90	365	0	0	0	407	-0	0	0	0	0	0	0	-0	0	-0.04
0.3	1558	489	2097	485	90	365	0	0	0	407	-0	0	0	0	0	0	0	-0	0	-0.04
0.4	1558	489	2097	485	90	365	0	0	0	407	-0	0	0	0	0	0	0	-0	0	-0.04
0.5	1558	489	2097	485	90	365	0	0	0	407	-0	0	0	0	0	0	0	-0	0	-0.04
0.6	1558	489	2097	485	90	365	0	0	0	407	-0	0	0	0	0	0	0	-0	0	-0.04
0.7	1558	489	2097	485	90	365	0	0	0	407	-0	0	0	-0	0	0	0	-0	0	-0.04
0.8	1558	489	2097	485	90	365	0	0	0	407	-0	0	0	-0	-0	0	0	-0	0	-0.04
0.9	1554	488	2097	485	91	363	0	0	0	407	-0	-0	-0	-0	-0	-0	-0	0	0	-0.042
1	1527	495	2094	485	90	357	0	0	0	408	-0	-0	0	0	0	0	0	0	0	-0.022
1.1	1532	494	2091	485	90	360	0	0	0	408	-0	0	0	-0	-0	0	-0	-0	0	-0.042
1.2	1532	496	2098	486	90	358	0	0	0	407	-0	-0	0	0	0	-0	-0	-0	0	-0.025
1.3	1558	488	2095	484	91	365	0	0	0	408	0	0	0	0	-0	-0	0	-0	0	-0.042
1.4	1539	496	2098	485	89	360	0	0	0	406	-0	0	0	-0	0	-0	0	-0	0	-0.052
1.5	1546	491	2092	486	90	362	0	0	0	406	-0	-0	-0	0	0	0	0	-0	0	-0.045
1.6	1530	496	2096	486	90	359	0	0	0	408	0	0	-0	0	0	0	0	0	0	-0.041
1.7	1540	495	2097	485	91	359	0	0	0	407	-0	-0	0	-0	-0	-0	0	0	0	-0.026
1.8	1546	491	2097	486	91	361	0	0	0	408	0	0	0	-0	0	-0	-0	0	0	-0.041
1.9	1530	496	2097	486	91	358	0	0	0	408	-0	0	0	-0	0	0	0	-0	0	-0.031
2	1546	491	2097	485	90	361	0	0	0	407	-0	0	0	-0	0	-0	0	0	0	-0.021
2.1	1555	488	2095	485	90	365	0	0	0	408	0	-0	-0	0	0	0	0	0	0	-0.031
2.2	1556	488	2100	485	90	365	0	0	0	408	-0	-0	0	-0	0	0	0	0	0	-0.055
2.3	1546	491	2097	484	90	364	0	0	0	407	-0	0	-0	0	-0	0	-0	0	0	-0.025
2.4	1533	495	2097	485	91	359	0	0	0	408	-0	0	0	0	-0	-0	-0	-0	0	-0.063
2.5	1548	490	2097	486	90	363	0	0	0	407	0	-0	0	0	0	0	0	0	0	-0.046
2.6	1553	487	2097	485	90	363	0	0	0	407	-0	-0	0	0	0	-0	0	-0	0	-0.021
2.7	1552	489	2093	485	89	364	0	0	0	408	-0	-0	0	0	0	-0	-0	0	0	-0.06
2.8	1539	495	2095	485	91	360	0	0	0	407	-0	-0	0	0	0	0	-0	0	0	-0.047
2.9	1554	487	2094	485	90	362	0	0	0	407	-0	0	0	0	0	-0	0	0	0	-0.016
3	1543	493	2099	485	91	361	0	0	0	408	-0	0	0	-0	0	0	-0	-0	0	-0.044
