# F34 BrakeDataPreprocessor optimizer-compatible export
# Source session: firstendurancenoaeronoregen417
# Segment type: raw_format_only | source time 3572.573 to 5043.073 s
# Source files: First Endurance No Aero No Regen 4-17.txt
# Format: no_drs_21_column | estimated: none | missing-as-NaN: none | startup-cleaning: no stable start (skipped_raw_format_only)
Time_s	FL_RotorTemp_RAW	FR_RotorTemp_RAW	RL_RotorTemp_RAW	RR_RotorTemp_RAW	Steering_pct	FrontBrakePressure_RAW	AccelPedalA_pct	AccelPedalB_pct	Reserved	RearBrakePressure_RAW	FL_FeedbackTorque_pctMn	FL_FeedbackVelocity_rpm	FR_FeedbackTorque_pctMn	FR_FeedbackVelocity_rpm	RL_FeedbackTorque_pctMn	RL_FeedbackVelocity_rpm	RR_FeedbackTorque_pctMn	RR_FeedbackVelocity_rpm	Velocity_mps	AccelX_mps2
0	4027	571	3	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	-0.011	0.01
0.1	4027	571	3	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	-0.011	-0.023
0.2	4027	571	3	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	-0.013	-0.051
0.3	4027	571	3	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	-0.013	0.021
0.4	4027	571	3	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	-0.013	0.009
0.5	4027	571	3	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	-0.013	0.022
0.6	4027	571	3	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	-0.011	0.028
0.7	4027	571	3	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	-0.011	0.006
0.8	4027	571	3	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	-0.011	0.024
0.9	4027	571	3	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	-0.011	0.001
1	4027	571	3	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	-0.008	0.011
1.1	4027	571	3	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	-0.009	0.006
1.2	4027	571	3	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	-0.008	-0.002
1.3	4027	571	3	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	-0.009	-0.036
1.4	4027	571	3	519	0	362	0	0	0	220	0	-0	-0	-0	0	-0	0	-1	-0.009	-0.007
